ACR,ACFT_ID,ENGINE,%,MOST_FREQ
BE30,BE30-A,FOI-32,88.68,*
BE30,BE30-B,FOI-34,11.32,
BE32,BE32-A,FOI-39,100,*
BE33,BE33-A,FOCA-15,100,*
BE35,BE35-A,FOCA-3,100,*
BE36,BE36-A,FOCA-4,100,*
BE40,BE40-A,1PW037,100,*
BE4W,BE4W-A,1AS001,100,*
BE50,BE50-A,FOCA-19,100,*
BE55,BE55-A,FOCA-18,95.36,*
BE55,BE55-B,FOCA-16,4.64,
BE56,BE56-A,FOCA-14,100,*
BE58,BE58-A,FOCA-16,74.03,*
BE58,BE58-B,FOCA-4,25.97,
BE60,BE60-A,FOCA-14,100,*
BE65,BE65-A,FOCA-19,100,*
BE70,BE70-A,FOCA-14,100,*
BE76,BE76-A,FOCA-7,100,*
BE77,BE77-A,FOCA-12,100,*
BE80,BE80-A,FOCA-3,100,*
BE88,BE88-A,FOCA-3,86.05,*
BE88,BE88-B,FOCA-14,13.95,
BE95,BE95-A,FOCA-2,99.33,*
BE95,BE95-B,FOCA-7,0.67,
BE99,BE99-A,FOI-18,99.99,*
BE99,BE99-B,PT6A-27,0.01,
BE99,BE99-C,PT6A-36,0.01,
BE9L,BE9L-A,FOI-19,59.6,*
BE9L,BE9L-B,FOI-16,23.61,
BE9L,BE9L-C,FOI-18,14.5,
BE9L,BE9L-D,PT6A-28,2.28,
BE9T,BE9T-A,FOI-16,100,*
BELF,BELF-A,FOI-85,100,*
BER2,BER2-A,13ZM004,100,*
BK17,BK17-A,FOI-13,100,*
BL17,BL17-A,FOCA-4,100,*
BL8,BL8-A,FOCA-3,100,*
BLCF,BLCF-A,1PW042,100,*
BN2P,BN2P-A,FOCA-8,99.14,*
BN2P,BN2P-B,FOCA-3,0.86,
BN2T,BN2T-A,FOCA-8,93.79,*
BN2T,BN2T-B,FOI-11,6.21,
BRAV,BRAV-A,FOCA-11,100,*
BSTP,BSTP-A,FOI-52,100,*
BT36,BT36-A,FOCA-4,100,*
BUCA,BUCA-A,FOCA-9,100,*
BW60,BW60-A,FOCA-11,100,*
BX2,BX2-A,FOCA-10,100,*
C02T,C02T-A,FOI-11,100,*
C06T,C06T-A,FOI-11,100,*
C07T,C07T-A,FOI-11,100,*
C1,C1-A,01P08GE193,100,*
C10T,C10T-A,FOI-12,100,*
C120,C120-A,FOCA-10,100,*
C125,C125-A,FOCA-20,100,*
C130,C130-A,FOI-2,100,*
C150,C150-A,FOCA-5,100,*
C152,C152-A,FOCA-11,100,*
C162,C162-A,FOCA-5,100,*
C170,C170-A,FOCA-6,100,*
C172,C172-A,FOCA-11,100,*
C175,C175-A,FOCA-7,100,*
C177,C177-A,FOCA-7,100,*
C180,C180-A,FOCA-8,100,*
C182,C182-A,FOCA-11,100,*
C185,C185-A,FOCA-4,100,*
C188,C188-A,FOCA-16,100,*
C190,C190-A,FOCA-4,100,*
C195,C195-A,FOCA-4,100,*
C205,C205-A,FOCA-3,100,*
C206,C206-A,FOCA-11,100,*
C207,C207-A,FOCA-4,100,*
C208,C208-A,FOI-14,97.92,*
C208,C208-B,FOI-16,1.06,
C208,C208-C,FOI-13,1.02,
C210,C210-A,FOCA-16,100,*
C212,C212-A,FOI-95,67.04,*
C212,C212-B,FOI-99,30.05,
C212,C212-C,FOI-115,2.91,
C21T,C21T-A,FOI-16,100,*
C240,C240-A,FOCA-16,100,*
C25A,C25A-A,1AS001,100,*
C25B,C25B-A,1AS001,100,*
C25C,C25C-A,1AS001,100,*
C25M,C25M-A,1AS001,100,*
C303,C303-A,FOCA-16,100,*
C30J,C30J-A,FOI-4,100,*
C310,C310-A,FOCA-16,93.88,*
C310,C310-B,FOCA-18,5.97,
C310,C310-C,FOCA-3,0.15,
C320,C320-A,FOCA-3,100,*
C335,C335-A,FOCA-16,100,*
C336,C336-A,FOCA-2,100,*
C337,C337-A,FOCA-2,100,*
C340,C340-A,FOCA-16,100,*
C365,C365-A,FOI-39,100,*
C402,C402-A,FOCA-16,100,*
C404,C404-A,FOCA-16,100,*
C411,C411-A,FOCA-16,100,*
C414,C414-A,FOCA-16,100,*
C421,C421-A,FOCA-16,100,*
C425,C425-A,FOI-12,100,*
C441,C441-A,TPE331-8,100,*
C46,C46-A,FOCA-20,100,*
C500,C500-A,1PW035,100,*
C501,C501-A,1PW035,98.55,*
C501,C501-B,1AS001,1.45,
C510,C510-A,PW610F,100,*
C525,C525-A,1AS001,100,*
C526,C526-A,1PW035,100,*
C550,C550-A,PW530,66.3,*
C550,C550-B,1PW036,33.7,
C551,C551-A,1PW036,100,*
C55B,C55B-A,1PW036,100,*
C560,C560-A,1PW037,65.75,*
C560,C560-B,PW530,34.25,
C56X,C56X-A,PW530,100,*
C650,C650-A,1AS002,100,*
C680,C680-A,7PW078,100,*
C68A,C68A-A,7PW078,100,*
C700,C700-A,01P18HN013,100,*
C72R,C72R-A,FOCA-11,100,*
C750,C750-A,6AL024,61.45,*
C750,C750-B,8AL025,38.55,
C77R,C77R-A,FOCA-2,100,*
C82,C82-A,FOCA-8,100,*
C82R,C82R-A,FOCA-8,100,*
C82S,C82S-A,FOCA-3,100,*
C82T,C82T-A,FOCA-8,100,*
C97,C97-A,FOCA-20,100,*
CAT,CAT-A,FOCA-20,100,*
CD2,CD2-A,FOI-12,100,*
CE22,CE22-A,FOCA-9,100,*
CE25,CE25-A,FOCA-11,100,*
CE43,CE43-A,FOCA-3,100,*
CH20,CH20-A,FOCA-5,100,*
CH30,CH30-A,FOCA-6,100,*
CL2P,CL2P-A,FOCA-20,100,*
CL2T,CL2T-A,FOI-69,100,*
CL30,CL30-A,11HN003,100,*
CL35,CL35-A,01P14HN011,100,*
CL41,CL41-A,1PW036,100,*
CL60,CL60-A,5GE083,53.59,*
CL60,CL60-B,01P05GE189,35.39,
CL60,CL60-C,1GE034,6.79,
CL60,CL60-D,1GE035,2.69,
CL60,CL60-E,1TL001,1.54,
CMD1,CMD1-A,FOCA-6,100,*
CN35,CN35-A,FOI-7,85.71,*
CN35,CN35-B,FOI-6,14.29,
COAR,COAR-A,FOCA-10,100,*
COL3,COL3-A,FOCA-4,100,*
COL4,COL4-A,FOCA-16,100,*
CONI,CONI-A,FOCA-20,100,*
COZY,COZY-A,FOCA-12,100,*
CP10,CP10-A,FOCA-7,100,*
CP21,CP21-A,FOCA-2,100,*
CP22,CP22-A,FOCA-8,100,*
CR10,CR10-A,FOCA-7,100,*
CRJ1,CRJ1-A,1GE035,96.37,*
CRJ1,CRJ1-B,01P05GE189,3.63,
CRJ2,CRJ2-A,01P05GE189,99.86,*
CRJ2,CRJ2-B,1GE035,0.14,
CRJ7,CRJ7-A,5GE083,99.92,*
CRJ7,CRJ7-B,01P08GE192,0.08,
CRJ9,CRJ9-A,01P08GE190,100,*
CRJX,CRJX-A,01P08GE193,100,*
CRUZ,CRUZ-A,FOCA-11,100,*
CVLP,CVLP-A,FOCA-14,100,*
CVLT,CVLT-A,FOI-2,100,*
D140,D140-A,FOCA-7,100,*
D228,D228-A,FOI-115,95.52,*
D228,D228-B,FOI-96,1.85,
D228,D228-C,FOI-106,2.63,
D250,D250-A,FOCA-12,100,*
D253,D253-A,FOCA-7,100,*
D28D,D28D-A,FOCA-14,100,*
D28T,D28T-A,FOI-11,100,*
D328,D328-A,FOI-63,84.02,*
D328,D328-B,FOI-64,15.98,
D8,D8-A,FOCA-12,100,*
DA2,DA2-A,FOCA-9,100,*
DA40,DA40-A,FOCA-7,100,*
DA42,DA42-A,FOCA-13,79.88,*
DA42,DA42-B,FOCA-22,17.3,
DA42,DA42-C,FOCA-17,2.82,
DA50,DA50-A,FOCA-14,100,*
DA62,DA62-A,FOCA-7,100,*
DAHU,DAHU-A,FOCA-7,100,*
DC10,DC10-A,3GE074,65.43,*
DC10,DC10-B,3GE078,14.31,
DC10,DC10-C,3GE070,11.68,
DC10,DC10-D,1PW033,8,
DC10,DC10-E,1GE001,0.31,
DC10,DC10-F,1GE003,0.13,
DC10,DC10-G,1GE002,0.07,
DC10,DC10-H,3GE072,0.04,
DC10,DC10-I,3GE073,0.02,
DC3,DC3-A,FOCA-20,100,*
DC3T,DC3T-A,FOI-38,70.21,*
DC3T,DC3T-B,FOI-42,20.06,
DC3T,DC3T-C,FOI-49,8.85,
DC3T,DC3T-D,FOI-29,0.88,
DC6,DC6-A,FOCA-20,100,*
DC7,DC7-A,FOCA-20,100,*
DC85,DC85-A,1PW001,100,*
DC86,DC86-A,1PW003,83.05,*
DC86,DC86-B,1PW001,16.95,
DC87,DC87-A,1CM003,89.82,*
DC87,DC87-B,1CM002,10.18,
DC91,DC91-A,8PW085,100,*
DC92,DC92-A,1PW008,100,*
DC93,DC93-A,1PW007,99.63,*
DC93,DC93-B,1PW010,0.15,
DC93,DC93-C,1PW013,0.15,
DC93,DC93-D,8PW085,0.07,
DC95,DC95-A,1PW014,98.27,*
DC95,DC95-B,1PW013,1.73,
DG50,DG50-A,FOCA-9,100,*
DH2T,DH2T-A,FOI-18,91.67,*
DH2T,DH2T-B,PT6A-27,8.33,
DH3T,DH3T-A,FOI-16,66.67,*
DH3T,DH3T-B,FOCA-20,33.33,
DH60,DH60-A,FOCA-11,100,*
DH82,DH82-A,FOCA-13,100,*
DH8A,DH8A-A,FOI-67,83.68,*
DH8A,DH8A-B,FOI-66,16.32,
DH8B,DH8B-A,FOI-71,78.71,*
DH8B,DH8B-B,FOI-72,20.75,
DH8B,DH8B-C,FOI-70,0.54,
DH8C,DH8C-A,FOI-70,59.54,*
DH8C,DH8C-B,FOI-69,38.89,
DH8C,DH8C-C,FOI-71,1.19,
DH8C,DH8C-D,FOI-72,0.35,
DH8C,DH8C-E,FOI-73,0.01,
DH8C,DH8C-F,FOI-67,0.01,
DH8D,DH8D-A,PW150A,100,*
DHC2,DHC2-A,FOCA-19,100,*
DHC3,DHC3-A,FOCA-4,100,*
DHC4,DHC4-A,FOCA-20,100,*
DHC6,DHC6-A,PT6A-27,99.96,*
DHC6,DHC6-B,FOI-18,0.04,
DHC7,DHC7-A,FOI-30,100,*
DIMO,DIMO-A,FOCA-11,100,*
DO27,DO27-A,FOCA-3,100,*
