oid,vehicle_type,class,legislation,a1,b1,c1,d1,e1,f1,g1,h1,corr1,a2,b2,c2,d2,e2,f2,g2,h2,corr2
37,PC,Diesel <2.0l,EURO III,0.0,0.0,0.0,5.41301,-0.574,0.0,0,0,0.745,0.0,0.0,0.0,0,0,0,0,0,NULL
38,PC,Diesel <2.0l,EURO IV,0.0,0.0,0.0,5.41301,-0.574,0.0,0,0,0.745,0.0,0.0,0.0,0,0,0,0,0,NULL
39,PC,Diesel >2.0l,Conventional,0.0,0.0,0.0,5.41301,-0.574,0.0,0,0,0.745,0.0,0.0,0.0,0,0,0,0,0,NULL
40,PC,Diesel >2.0l,EURO I,0.0,0.0,0.0,5.41301,-0.574,0.0,0,0,0.745,0.0,0.0,0.0,0,0,0,0,0,NULL
41,PC,Diesel >2.0l,EURO II,0.0,0.0,0.0,5.41301,-0.574,0.0,0,0,0.745,0.0,0.0,0.0,0,0,0,0,0,NULL
42,PC,Diesel >2.0l,EURO III,0.0,0.0,0.0,5.41301,-0.574,0.0,0,0,0.745,0.0,0.0,0.0,0,0,0,0,0,NULL
43,PC,Diesel >2.0l,EURO IV,0.0,0.0,0.0,5.41301,-0.574,0.0,0,0,0.745,0.0,0.0,0.0,0,0,0,0,0,NULL
44,PC,LPG,Conventional,12.523,-0.418,0.0039,0.0,0.0,0.0,0,0,0.893,0.0,0.0,0.0,0,0,0,0,0,NULL
45,PC,LPG,EURO I,4.2098,-0.1165,0.0011,0.0,0.0,0.0,0,0,NULL,0.0,0.0,0.0,0,0,0,0,0,NULL
46,PC,LPG,EURO II,2.8627,-0.0792,0.000748,0.0,0.0,0.0,0,0,NULL,0.0,0.0,0.0,0,0,0,0,0,NULL
47,PC,LPG,EURO III,2.3575,-0.0652,0.000616,0.0,0.0,0.0,0,0,NULL,0.0,0.0,0.0,0,0,0,0,0,NULL
48,PC,LPG,EURO IV,1.4313,-0.0396,0.000374,0.0,0.0,0.0,0,0,NULL,0.0,0.0,0.0,0,0,0,0,0,NULL
49,PC,Gasoline 2-Stroke,Conventional,12.3,0.0,0.0,0.0,0.0,0.0,0,0,NULL,0.0,0.0,0.0,0,0,0,0,0,NULL
50,LDV,Gasoline <3.5t,Conventional,57.789,-1.5132,0.01104,0.0,0.0,0.0,0,0,0.732,0.0,0.0,0.0,0,0,0,0,0,NULL
51,LDV,Gasoline <3.5t,EURO I,19.127,-0.5215,0.0037,0.0,0.0,0.0,0,0,0.394,0.0,0.0,0.0,0,0,0,0,0,NULL
52,LDV,Gasoline <3.5t,EURO II,11.6675,-0.3181,0.0023,0.0,0.0,0.0,0,0,NULL,0.0,0.0,0.0,0,0,0,0,0,NULL
53,LDV,Gasoline <3.5t,EURO III,9.946,-0.2712,0.0019,0.0,0.0,0.0,0,0,NULL,0.0,0.0,0.0,0,0,0,0,0,NULL
54,LDV,Gasoline <3.5t,EURO IV,5.3556,-0.146,0.001,0.0,0.0,0.0,0,0,NULL,0.0,0.0,0.0,0,0,0,0,0,NULL
55,LDV,Diesel <3.5t,Conventional,1.8281,-0.0256,0.0002,0.0,0.0,0.0,0,0,0.136,0.0,0.0,0.0,0,0,0,0,0,NULL
56,LDV,Diesel <3.5t,EURO I,1.076,-0.026,0.000223,0.0,0.0,0.0,0,0,0.301,0.0,0.0,0.0,0,0,0,0,0,NULL
57,LDV,Diesel <3.5t,EURO II,1.076,-0.026,0.000223,0.0,0.0,0.0,0,0,0.301,0.0,0.0,0.0,0,0,0,0,0,NULL
58,LDV,Diesel <3.5t,EURO III,0.8823,-0.0213,0.00018286,0.0,0.0,0.0,0,0,0.301,0.0,0.0,0.0,0,0,0,0,0,NULL
59,LDV,Diesel <3.5t,EURO IV,0.6994,-0.0169,0.00014495,0.0,0.0,0.0,0,0,0.301,0.0,0.0,0.0,0,0,0,0,0,NULL
60,HDV,Gasoline >3.5t,Conventional,60.0,0.0,0.0,0.0,0.0,0.0,0,0,NULL,0.0,0.0,0.0,0,0,0,0,0,NULL
61,HDV,Diesel <7.5t,Conventional,0.0,0.0,0.0,37.28,-0.6945,0.0,0,0,0.88,0.0,0.0,0.0,0,0,0,0,0,NULL
62,HDV,Diesel <7.5t,EURO I,0.0,0.0,0.0,20.504,-0.6945,0.0,0,0,NULL,0.0,0.0,0.0,0,0,0,0,0,NULL
63,HDV,Diesel <7.5t,EURO II,0.0,0.0,0.0,18.0174,-0.6945,0.0,0,0,NULL,0.0,0.0,0.0,0,0,0,0,0,NULL
64,HDV,Diesel <7.5t,EURO III,0.0,0.0,0.0,12.6118,-0.6945,0.0,0,0,NULL,0.0,0.0,0.0,0,0,0,0,0,NULL
65,HDV,Diesel <7.5t,EURO IV,0.0,0.0,0.0,9.197,-0.6945,0.0,0,0,NULL,0.0,0.0,0.0,0,0,0,0,0,NULL
66,HDV,Diesel 7.5-16t,Conventional,0.0,0.0,0.0,37.28,-0.6945,0.0,0,0,0.88,0.0,0.0,0.0,0,0,0,0,0,NULL
67,HDV,Diesel 7.5-16t,EURO I,0.0,0.0,0.0,20.504,-0.6945,0.0,0,0,NULL,0.0,0.0,0.0,0,0,0,0,0,NULL
