oid,engine_type,engine_full_name,engine_name,thrust,mode,fuel_kg_sec,co_ei,hc_ei,nox_ei,sox_ei,pm10_ei,p1_ei,p2_ei,smoke_number,smoke_number_maximum,fuel_type,manufacturer,source,remark,status,engine_name_type,coolant,combustion_technology,technology_age,pm10_prefoa3,pm10_nonvol,pm10_sul,pm10_organic,eng_type,bpr,nvpm_ei,nvpm_number_ei
25,J,AE3007A1 series,4AL002,1.0,TO,0.38,0.79,0.26,19.78,1,489.6000000000001,20.165200000000002,20.165200000000002,1.0,1.0,Jet A/JP-8,Rolls-Royce Corporation,EEDB,,Out of production,,,,,,,,,MTF,4.76,20.1353,1015461450542790.2
26,J,AE3007A1 series,4AL002,0.85,CL,0.319,0.97,0.3,16.84,1,489.6000000000001,20.1581,20.1581,0.0,1.0,Jet A/JP-8,Rolls-Royce Corporation,EEDB,,Out of production,,,,,,,,,MTF,4.76,20.1353,1015461450542790.2
27,J,AE3007A1 series,4AL002,0.3,AP,0.117,3.8,0.72,7.22,1,489.6000000000001,20.175800000000002,20.175800000000002,0.0,1.0,Jet A/JP-8,Rolls-Royce Corporation,EEDB,,Out of production,,,,,,,,,MTF,4.76,20.1353,1015461450542790.2
28,J,AE3007A1 series,4AL002,0.07,TX,0.05,22.43,3.1,3.52,1,489.6000000000001,20.154427000000002,20.154427000000002,0.0,1.0,Jet A/JP-8,Rolls-Royce Corporation,EEDB,,Out of production,,,,,,,,,MTF,4.76,20.1353,1015461450542790.2
29,J,AE3007A1,6AL007,1.0,TO,0.3826,0.75,0.03,16.17,1,489.6000000000001,15.11838,15.11838,0.01,0.01,Jet A,Rolls-Royce Corporation,EEDB,,Out of production,AE3007A1Type 3 (reduced emissions),,,,,,,,MTF,4.77,15.11493,762274917042179.4
30,J,AE3007A1,6AL007,0.85,CL,0.318,0.56,0.03,14.07,1,489.6000000000001,15.11721,15.11721,0.01,0.01,Jet A,Rolls-Royce Corporation,EEDB,,Out of production,AE3007A1Type 3 (reduced emissions),,,,,,,,MTF,4.77,15.11493,762274917042179.4
31,J,AE3007A1,6AL007,0.3,AP,0.113,6.72,0.03,7.13,1,489.6000000000001,15.116617499999998,15.116617499999998,0.01,0.01,Jet A,Rolls-Royce Corporation,EEDB,,Out of production,AE3007A1Type 3 (reduced emissions),,,,,,,,MTF,4.77,15.11493,762274917042179.4
32,J,AE3007A1,6AL007,0.07,TX,0.0461,39.91,3.85,4.17,1,489.6000000000001,15.1386845,15.1386845,0.01,0.01,Jet A,Rolls-Royce Corporation,EEDB,,Out of production,AE3007A1Type 3 (reduced emissions),,,,,,,,MTF,4.77,15.11493,762274917042179.4
33,J,AE3007A1/1,6AL008,1.0,TO,0.3805,0.77,0.222,19.57,1,489.6000000000001,15.14046,15.14046,1.0,1.0,Jet A,Rolls-Royce Corporation,EEDB,,Out of production,AE3007A1/1Type 1,,,,,,,,MTF,4.77,15.11493,762274917042179.4
34,J,AE3007A1/1,6AL008,0.85,CL,0.3163,0.97,0.258,16.55,1,489.6000000000001,15.134538,15.134538,0.01,1.0,Jet A,Rolls-Royce Corporation,EEDB,,Out of production,AE3007A1/1Type 1,,,,,,,,MTF,4.77,15.11493,762274917042179.4
35,J,AE3007A1/1,6AL008,0.3,AP,0.1125,3.93,0.658,7.07,1,489.6000000000001,15.151942499999999,15.151942499999999,0.01,1.0,Jet A,Rolls-Royce Corporation,EEDB,,Out of production,AE3007A1/1Type 1,,,,,,,,MTF,4.77,15.11493,762274917042179.4
36,J,AE3007A1/1,6AL008,0.07,TX,0.0459,23.95,3.92,3.46,1,489.6000000000001,15.139116399999999,15.139116399999999,0.01,1.0,Jet A,Rolls-Royce Corporation,EEDB,,Out of production,AE3007A1/1Type 1,,,,,,,,MTF,4.77,15.11493,762274917042179.4
37,J,AE3007A1/1,6AL009,1.0,TO,0.3805,0.0,0.0,22.31,1,489.6000000000001,15.11493,15.11493,0.01,0.01,Jet A,Rolls-Royce Corporation,EEDB,,Out of production,AE3007A1/1Type 2,,,,,,,,MTF,4.77,15.11493,762274917042179.4
38,J,AE3007A1/1,6AL009,0.85,CL,0.3163,0.0,0.0,19.49,1,489.6000000000001,15.11493,15.11493,0.01,0.01,Jet A,Rolls-Royce Corporation,EEDB,,Out of production,AE3007A1/1Type 2,,,,,,,,MTF,4.77,15.11493,762274917042179.4
39,J,AE3007A1/1,6AL009,0.3,AP,0.1125,1.4,0.18,7.16,1,489.6000000000001,15.125055,15.125055,0.01,0.01,Jet A,Rolls-Royce Corporation,EEDB,,Out of production,AE3007A1/1Type 2,,,,,,,,MTF,4.77,15.11493,762274917042179.4
40,J,AE3007A1/1,6AL009,0.07,TX,0.0459,32.84,5.1,3.19,1,489.6000000000001,15.146396999999999,15.146396999999999,0.01,0.01,Jet A,Rolls-Royce Corporation,EEDB,,Out of production,AE3007A1/1Type 2,,,,,,,,MTF,4.77,15.11493,762274917042179.4
41,J,AE3007A1/1,6AL010,1.0,TO,0.3805,0.74,0.03,16.1,1,489.6000000000001,15.11838,15.11838,0.01,0.01,Jet A,Rolls-Royce Corporation,EEDB,,Out of production,AE3007A1/1Type 3 (reduced emissions),,,,,,,,MTF,4.77,15.11493,762274917042179.4
42,J,AE3007A1/1,6AL010,0.85,CL,0.3163,0.55,0.03,14.01,1,489.6000000000001,15.11721,15.11721,0.01,0.01,Jet A,Rolls-Royce Corporation,EEDB,,Out of production,AE3007A1/1Type 3 (reduced emissions),,,,,,,,MTF,4.77,15.11493,762274917042179.4
43,J,AE3007A1/1,6AL010,0.3,AP,0.1125,6.8,0.03,7.12,1,489.6000000000001,15.116617499999998,15.116617499999998,0.01,0.01,Jet A,Rolls-Royce Corporation,EEDB,,Out of production,AE3007A1/1Type 3 (reduced emissions),,,,,,,,MTF,4.77,15.11493,762274917042179.4
44,J,AE3007A1/1,6AL010,0.07,TX,0.0459,40.07,3.88,4.17,1,489.6000000000001,15.1388696,15.1388696,0.01,0.01,Jet A,Rolls-Royce Corporation,EEDB,,Out of production,AE3007A1/1Type 3 (reduced emissions),,,,,,,,MTF,4.77,15.11493,762274917042179.4
45,J,AE3007A1/3,6AL011,1.0,TO,0.3589,0.83,0.233,18.55,1,489.6000000000001,15.233125,15.233125,1.0,1.0,Jet A,Rolls-Royce Corporation,EEDB,,Out of production,AE3007A1/3Type 1,,,,,,,,MTF,4.81,15.20633,766884163175195.9
46,J,AE3007A1/3,6AL011,0.85,CL,0.2999,1.03,0.269,15.81,1,489.6000000000001,15.226773999999999,15.226773999999999,0.01,1.0,Jet A,Rolls-Royce Corporation,EEDB,,Out of production,AE3007A1/3Type 1,,,,,,,,MTF,4.81,15.20633,766884163175195.9
47,J,AE3007A1/3,6AL011,0.3,AP,0.1077,4.21,0.689,6.83,1,489.6000000000001,15.24508625,15.24508625,0.01,1.0,Jet A,Rolls-Royce Corporation,EEDB,,Out of production,AE3007A1/3Type 1,,,,,,,,MTF,4.81,15.20633,766884163175195.9
48,J,AE3007A1/3,6AL011,0.07,TX,0.0449,25.58,4.64,3.39,1,489.6000000000001,15.2349588,15.2349588,0.01,1.0,Jet A,Rolls-Royce Corporation,EEDB,,Out of production,AE3007A1/3Type 1,,,,,,,,MTF,4.81,15.20633,766884163175195.9
49,J,AE3007A1/3,6AL012,1.0,TO,0.3589,0.0,0.0,21.26,1,489.6000000000001,15.20633,15.20633,0.01,0.01,Jet A,Rolls-Royce Corporation,EEDB,,Out of production,AE3007A1/3Type 2,,,,,,,,MTF,4.81,15.20633,766884163175195.9
50,J,AE3007A1/3,6AL012,0.85,CL,0.2999,0.0,0.0,18.62,1,489.6000000000001,15.20633,15.20633,0.01,0.01,Jet A,Rolls-Royce Corporation,EEDB,,Out of production,AE3007A1/3Type 2,,,,,,,,MTF,4.81,15.20633,766884163175195.9
51,J,AE3007A1/3,6AL012,0.3,AP,0.1077,1.83,0.21,6.84,1,489.6000000000001,15.218142499999999,15.218142499999999,0.01,0.01,Jet A,Rolls-Royce Corporation,EEDB,,Out of production,AE3007A1/3Type 2,,,,,,,,MTF,4.81,15.20633,766884163175195.9
52,J,AE3007A1/3,6AL012,0.07,TX,0.0449,32.4,5.23,3.29,1,489.6000000000001,15.2385991,15.2385991,0.01,0.01,Jet A,Rolls-Royce Corporation,EEDB,,Out of production,AE3007A1/3Type 2,,,,,,,,MTF,4.81,15.20633,766884163175195.9
53,J,AE3007A1/3,6AL013,1.0,TO,0.3589,0.5,0.03,15.42,1,489.6000000000001,15.20978,15.20978,0.01,0.01,Jet A,Rolls-Royce Corporation,EEDB,,Out of production,AE3007A1/3Type 3 (reduced emissions),,,,,,,,MTF,4.81,15.20633,766884163175195.9
54,J,AE3007A1/3,6AL013,0.85,CL,0.2999,0.5,0.03,13.49,1,489.6000000000001,15.20861,15.20861,0.01,0.01,Jet A,Rolls-Royce Corporation,EEDB,,Out of production,AE3007A1/3Type 3 (reduced emissions),,,,,,,,MTF,4.81,15.20633,766884163175195.9
