oid,vehicle_type,class,legislation,a1,b1,c1,d1,e1,f1,g1,h1,corr1,a2,b2,c2,d2,e2,f2,g2,h2,corr2
32,PC,Gasoline >2.0l,EURO III,0.1598,-0.0022,1.812e-05,0.0,0.0,0.0,0.0,0.0,NULL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL
33,PC,Gasoline >2.0l,EURO IV,0.0866,-0.0012,9.815e-06,0.0,0.0,0.0,0.0,0.0,NULL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL
34,PC,Diesel <2.0l,Conventional,0.918,-0.014,0.000101,0.0,0.0,0.0,0.0,0.0,0.949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL
35,PC,Diesel <2.0l,EURO I,1.4335,-0.026,0.0001785,0.0,0.0,0.0,0.0,0.0,NULL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL
36,PC,Diesel <2.0l,EURO II,1.4335,-0.026,0.0001785,0.0,0.0,0.0,0.0,0.0,NULL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL
37,PC,Diesel <2.0l,EURO III,1.1038,-0.02,0.00013745,0.0,0.0,0.0,0.0,0.0,NULL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL
38,PC,Diesel <2.0l,EURO IV,0.7598,-0.0138,9.4605e-05,0.0,0.0,0.0,0.0,0.0,NULL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL
39,PC,Diesel >2.0l,Conventional,1.331,-0.018,0.000133,0.0,0.0,0.0,0.0,0.0,0.927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL
40,PC,Diesel >2.0l,EURO I,1.4335,-0.026,0.0001785,0.0,0.0,0.0,0.0,0.0,NULL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL
41,PC,Diesel >2.0l,EURO II,1.4335,-0.026,0.0001785,0.0,0.0,0.0,0.0,0.0,NULL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL
42,PC,Diesel >2.0l,EURO III,1.1038,-0.02,0.00013745,0.0,0.0,0.0,0.0,0.0,NULL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL
43,PC,Diesel >2.0l,EURO IV,0.7598,-0.0138,9.4605e-05,0.0,0.0,0.0,0.0,0.0,NULL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL
44,PC,LPG,Conventional,0.0,0.0,0.0,0.77,0.285,0.0,0.0,0.0,0.598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL
45,PC,LPG,EURO I,0.5278,-0.0063,4e-05,0.0,0.0,0.0,0.0,0.0,NULL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL
46,PC,LPG,EURO II,0.19,-0.0023,1.44e-05,0.0,0.0,0.0,0.0,0.0,NULL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL
47,PC,LPG,EURO III,0.1267,-0.0015,9.6e-06,0.0,0.0,0.0,0.0,0.0,NULL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL
48,PC,LPG,EURO IV,0.0686,-0.000819,5.2e-06,0.0,0.0,0.0,0.0,0.0,NULL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL
49,PC,Gasoline 2-Stroke,Conventional,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL
50,LDV,Gasoline <3.5t,Conventional,1.9547,0.0179,0.0,0.0,0.0,0.0,0.0,0.0,0.142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL
51,LDV,Gasoline <3.5t,EURO I,0.666,-0.009,7.55e-05,0.0,0.0,0.0,0.0,0.0,0.0141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL
52,LDV,Gasoline <3.5t,EURO II,0.2264,-0.0031,2.567e-05,0.0,0.0,0.0,0.0,0.0,NULL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL
