31,PIER,TURBOPROP,GSE,minutes,A,33.00,grams/hour,143.00,35.00,247.00,0.00,20.00,ALAQS GSE application combined with airports data for operating times (Zurich Bucharest Warsaw..)
32,PIER,TURBOPROP,GSE,minutes,D,67.00,grams/hour,143.00,35.00,247.00,0.00,20.00,ALAQS GSE application combined with airports data for operating times (Zurich Bucharest Warsaw..)
33,REMOTE,JET BUSINESS,GPU,minutes,A,15.00,grams/hour,258.00,52.00,366.00,0.00,34.00,ALAQS GSE application combined with airports data for operating times (Zurich Bucharest Warsaw..)
34,REMOTE,JET BUSINESS,GPU,minutes,D,15.00,grams/hour,258.00,52.00,366.00,0.00,34.00,ALAQS GSE application combined with airports data for operating times (Zurich Bucharest Warsaw..)
35,REMOTE,JET LARGE,GPU,minutes,A,17.00,grams/hour,405.00,105.00,745.00,0.00,57.00,ALAQS GSE application combined with airports data for operating times (Zurich Bucharest Warsaw..)
36,REMOTE,JET LARGE,GPU,minutes,D,17.00,grams/hour,405.00,105.00,745.00,0.00,57.00,ALAQS GSE application combined with airports data for operating times (Zurich Bucharest Warsaw..)
37,REMOTE,JET LARGE,GSE,minutes,A,41.00,grams/hour,1472.00,183.00,1177.00,0.00,87.00,ALAQS GSE application combined with airports data for operating times (Zurich Bucharest Warsaw..)
38,REMOTE,JET LARGE,GSE,minutes,D,59.00,grams/hour,1472.00,183.00,1177.00,0.00,87.00,ALAQS GSE application combined with airports data for operating times (Zurich Bucharest Warsaw..)
39,REMOTE,JET MEDIUM,GPU,minutes,A,17.00,grams/hour,405.00,105.00,745.00,0.00,57.00,ALAQS GSE application combined with airports data for operating times (Zurich Bucharest Warsaw..)
40,REMOTE,JET MEDIUM,GPU,minutes,D,17.00,grams/hour,405.00,105.00,745.00,0.00,57.00,ALAQS GSE application combined with airports data for operating times (Zurich Bucharest Warsaw..)
41,REMOTE,JET MEDIUM,GSE,minutes,A,40.00,grams/hour,1347.00,155.00,976.00,0.00,71.00,ALAQS GSE application combined with airports data for operating times (Zurich Bucharest Warsaw..)
42,REMOTE,JET MEDIUM,GSE,minutes,D,60.00,grams/hour,1347.00,155.00,976.00,0.00,71.00,ALAQS GSE application combined with airports data for operating times (Zurich Bucharest Warsaw..)
43,REMOTE,JET REGIONAL,GPU,minutes,A,15.00,grams/hour,258.00,52.00,366.00,0.00,34.00,ALAQS GSE application combined with airports data for operating times (Zurich Bucharest Warsaw..)
44,REMOTE,JET REGIONAL,GPU,minutes,D,15.00,grams/hour,258.00,52.00,366.00,0.00,34.00,ALAQS GSE application combined with airports data for operating times (Zurich Bucharest Warsaw..)
45,REMOTE,JET REGIONAL,GSE,minutes,A,39.00,grams/hour,96.00,22.00,156.00,0.00,13.00,ALAQS GSE application combined with airports data for operating times (Zurich Bucharest Warsaw..)
46,REMOTE,JET REGIONAL,GSE,minutes,D,61.00,grams/hour,96.00,22.00,156.00,0.00,13.00,ALAQS GSE application combined with airports data for operating times (Zurich Bucharest Warsaw..)
47,REMOTE,JET SMALL,GPU,minutes,A,17.00,grams/hour,258.00,52.00,366.00,0.00,34.00,ALAQS GSE application combined with airports data for operating times (Zurich Bucharest Warsaw..)
48,REMOTE,JET SMALL,GPU,minutes,D,17.00,grams/hour,258.00,52.00,366.00,0.00,34.00,ALAQS GSE application combined with airports data for operating times (Zurich Bucharest Warsaw..)
49,REMOTE,JET SMALL,GSE,minutes,A,44.00,grams/hour,326.00,64.00,442.00,0.00,36.00,ALAQS GSE application combined with airports data for operating times (Zurich Bucharest Warsaw..)
50,REMOTE,JET SMALL,GSE,minutes,D,56.00,grams/hour,326.00,64.00,442.00,0.00,36.00,ALAQS GSE application combined with airports data for operating times (Zurich Bucharest Warsaw..)
51,REMOTE,TURBOPROP,GPU,minutes,A,15.00,grams/hour,258.00,52.00,366.00,0.00,34.00,ALAQS GSE application combined with airports data for operating times (Zurich Bucharest Warsaw..)
52,REMOTE,TURBOPROP,GPU,minutes,D,15.00,grams/hour,258.00,52.00,366.00,0.00,34.00,ALAQS GSE application combined with airports data for operating times (Zurich Bucharest Warsaw..)
53,REMOTE,TURBOPROP,GSE,minutes,A,47.00,grams/hour,68.00,17.00,121.00,0.00,9.00,ALAQS GSE application combined with airports data for operating times (Zurich Bucharest Warsaw..)
54,REMOTE,TURBOPROP,GSE,minutes,D,53.00,grams/hour,68.00,17.00,121.00,0.00,9.00,ALAQS GSE application combined with airports data for operating times (Zurich Bucharest Warsaw..)
