stage,count,timestamp
process(),1,0.037033
process(),2,0.02202
process(),3,0.019999
process(),4,0.021
process(),5,0.02
process(),6,0.020003
process(),7,0.019998
process(),8,0.023002
process(),9,0.020004
process(),10,0.020993
process(),11,0.02
process(),12,0.02
process(),13,0.019001
process(),14,0.02
process(),15,0.019999
process(),16,0.019
process(),17,0.019
process(),18,0.018981
process(),19,0.020027
process(),20,0.018977
process(),21,0.020015
process(),22,0.019006
process(),23,0.019996
process(),24,0.020979
process(),25,0.019019
process(),26,0.02
process(),27,0.019002
process(),28,0.020001
process(),29,0.019004
process(),30,0.018993
process(),31,0.018
process(),32,0.019
process(),33,0.018999
process(),34,0.019001
process(),35,0.01998
process(),36,0.01902
process(),37,0.019
process(),38,0.019
process(),39,0.019003
process(),40,0.019004
process(),41,0.018993
process(),42,0.02
process(),43,0.019
process(),44,0.019003
process(),45,0.018
process(),46,0.019997
process(),47,0.01898
process(),48,0.01902
process(),49,0.019
process(),50,0.019003
process(),51,0.020996
process(),52,0.019
process(),53,0.019001
process(),54,0.019
process(),55,0.018003
process(),56,0.019001
process(),57,0.018973
process(),58,0.020006
process(),59,0.019021
process(),60,0.019
process(),61,0.019
process(),62,0.017996
process(),63,0.020983
process(),64,0.019017
process(),65,0.039982
process(),66,0.018997
process(),67,0.019997
process(),68,0.019024
process(),69,0.019007
process(),70,0.018993
process(),71,0.018003
process(),72,0.019008
process(),73,0.017993
process(),74,0.017999
process(),75,0.019001
process(),76,0.017996
process(),77,0.02
process(),78,0.023984
process(),79,0.019018
process(),80,0.018998
process(),81,0.018948
process(),82,0.019056
process(),83,0.019999
process(),84,0.018942
process(),85,0.019036
process(),86,0.019027
process(),87,0.020941
process(),88,0.018999
process(),89,0.020052
process(),90,0.019
process(),91,0.019001
process(),92,0.018947
process(),93,0.019052
process(),94,0.019001
process(),95,0.018999
process(),96,0.019003
process(),97,0.018998
process(),98,0.019001
process(),99,0.018998
process(),100,0.02
process(),101,0.019002
process(),102,0.019003
process(),103,0.018997
process(),104,0.018998
process(),105,0.019
process(),106,0.019005
process(),107,0.018997
process(),108,0.018979
process(),109,0.019019
process(),110,0.019981
process(),111,0.019023
process(),112,0.018998
process(),113,0.019999
process(),114,0.018948
process(),115,0.019051
process(),116,0.018999
process(),117,0.020001
process(),118,0.019001
process(),119,0.019003
process(),120,0.018997
process(),121,0.02
process(),122,0.02098
process(),123,0.01902
process(),124,0.018998
process(),125,0.020004
process(),126,0.017997
process(),127,0.019
process(),128,0.018012
process(),129,0.017993
process(),130,0.018
process(),131,0.018972
process(),132,0.01803
process(),133,0.018995
process(),134,0.018
process(),135,0.019001
process(),136,0.017999
process(),137,0.019
process(),138,0.017983
process(),139,0.019022
process(),140,0.017976
process(),141,0.018414
process(),142,0.017999
process(),143,0.02001
process(),144,0.017986
process(),145,0.019001
process(),146,0.017998
process(),147,0.019001
process(),148,0.018001
process(),149,0.019001
process(),150,0.018004
process(),151,0.018006
process(),152,0.017993
process(),153,0.018998
process(),154,0.025946
process(),155,0.019028
process(),156,0.019999
process(),157,0.018
process(),158,0.019003
process(),159,0.018997
process(),160,0.019
process(),161,0.018007
process(),162,0.019967
process(),163,0.020057
process(),164,0.020003
process(),165,0.01899
process(),166,0.01895
process(),167,0.019
process(),168,0.019
process(),169,0.019
process(),170,0.021
process(),171,0.02
process(),172,0.019
process(),173,0.019
process(),174,0.018
process(),175,0.02
process(),176,0.02
process(),177,0.019
process(),178,0.02
process(),179,0.019
process(),180,0.019
process(),181,0.018
process(),182,0.019
process(),183,0.019
process(),184,0.019
process(),185,0.019
process(),186,0.019
process(),187,0.019
process(),188,0.019
process(),189,0.019
process(),190,0.018
process(),191,0.019
process(),192,0.019
process(),193,0.019
process(),194,0.018
process(),195,0.019
process(),196,0.019
process(),197,0.019
process(),198,0.018
process(),199,0.019
process(),200,0.019
process(),201,0.019
process(),202,0.018
process(),203,0.019
process(),204,0.019
process(),205,0.019011
process(),206,0.018989
process(),207,0.021
process(),208,0.02
process(),209,0.019
process(),210,0.019
process(),211,0.018
process(),212,0.019
process(),213,0.020001
process(),214,0.019999
process(),215,0.019
process(),216,0.019
process(),217,0.019
process(),218,0.019
process(),219,0.019
process(),220,0.018
process(),221,0.019
process(),222,0.019
process(),223,0.019
process(),224,0.019
process(),225,0.019
process(),226,0.019
process(),227,0.019
process(),228,0.019
process(),229,0.02
process(),230,0.018
process(),231,0.019
process(),232,0.018
process(),233,0.019
process(),234,0.019
process(),235,0.018
process(),236,0.019
process(),237,0.019
process(),238,0.018
process(),239,0.019
process(),240,0.02
process(),241,0.018
process(),242,0.019
process(),243,0.018
process(),244,0.019
process(),245,0.019
process(),246,0.019
process(),247,0.018
process(),248,0.018
process(),249,0.021005
process(),250,0.024995
process(),251,0.02
process(),252,0.02
process(),253,0.019
process(),254,0.019
process(),255,0.019
process(),256,0.02
process(),257,0.019
process(),258,0.02
process(),259,0.019
process(),260,0.019
process(),261,0.019
process(),262,0.02
process(),263,0.02
process(),264,0.019
process(),265,0.02
process(),266,0.02
process(),267,0.02
process(),268,0.019
process(),269,0.02
process(),270,0.021
process(),271,0.019
process(),272,0.020003
process(),273,0.018997
process(),274,0.02
process(),275,0.019
process(),276,0.02
process(),277,0.02
process(),278,0.02
process(),279,0.019
process(),280,0.019
process(),281,0.018
process(),282,0.02
process(),283,0.019
process(),284,0.018
process(),285,0.019
process(),286,0.018
process(),287,0.019
process(),288,0.019
process(),289,0.018
process(),290,0.019
process(),291,0.018
process(),292,0.018
process(),293,0.02
process(),294,0.019
process(),295,0.018
process(),296,0.019
process(),297,0.018
process(),298,0.019
process(),299,0.019
process(),300,0.019
process(),301,0.018
process(),302,0.019
process(),303,0.018
process(),304,0.024033
process(),305,0.01802
process(),306,0.018
process(),307,0.018003
process(),308,0.018997
process(),309,0.018
process(),310,0.018
process(),311,0.019002
process(),312,0.017998
process(),313,0.018
process(),314,0.018
process(),315,0.019005
process(),316,0.017975
process(),317,0.019017
process(),318,0.017982
process(),319,0.020018
process(),320,0.018
process(),321,0.019004
process(),322,0.018998
process(),323,0.018001
process(),324,0.018001
process(),325,0.020977
process(),326,0.019022
process(),327,0.019001
process(),328,0.018996
process(),329,0.019
process(),330,0.018986
process(),331,0.019014
process(),332,0.019001
process(),333,0.019002
process(),334,0.018001
process(),335,0.018
process(),336,0.018
process(),337,0.018999
process(),338,0.019003
process(),339,0.017997
process(),340,0.018
process(),341,0.018
process(),342,0.019001
process(),343,0.017999
process(),344,0.018001
process(),345,0.019002
process(),346,0.017997
process(),347,0.018001
process(),348,0.023977
process(),349,0.018022
process(),350,0.019001
process(),351,0.018
process(),352,0.018999
process(),353,0.019
process(),354,0.018
process(),355,0.018001
process(),356,0.019001
process(),357,0.018001
process(),358,0.017997
process(),359,0.019001
process(),360,0.018998
process(),361,0.018
process(),362,0.018998
process(),363,0.018001
process(),364,0.018999
process(),365,0.018003
process(),366,0.019004
process(),367,0.017996
process(),368,0.018001
process(),369,0.018
process(),370,0.019001
process(),371,0.017999
process(),372,0.019
process(),373,0.018003
process(),374,0.018999
process(),375,0.018
process(),376,0.019995
process(),377,0.018999
process(),378,0.019
process(),379,0.019003
process(),380,0.017944
process(),381,0.020053
process(),382,0.019
process(),383,0.019
process(),384,0.018981
process(),385,0.020966
process(),386,0.022056
process(),387,0.018997
process(),388,0.02
process(),389,0.019001
process(),390,0.018999
process(),391,0.019002
process(),392,0.018002
process(),393,0.019
process(),394,0.018
process(),395,0.018001
process(),396,0.018001
process(),397,0.017997
process(),398,0.018001
process(),399,0.017999
process(),400,0.019002
process(),401,0.017998
process(),402,0.018001
process(),403,0.019
process(),404,0.018004
process(),405,0.018986
process(),406,0.018013
process(),407,0.017998
process(),408,0.017998
process(),409,0.019001
process(),410,0.017999
process(),411,0.018004
process(),412,0.018999
process(),413,0.017969
process(),414,0.019032
process(),415,0.018
process(),416,0.018002
process(),417,0.018996
process(),418,0.018
process(),419,0.019002
process(),420,0.017996
process(),421,0.018001
process(),422,0.017999
process(),423,0.019
process(),424,0.020956
process(),425,0.021027
process(),426,0.01899
process(),427,0.019
process(),428,0.018
process(),429,0.019003
process(),430,0.018997
process(),431,0.019
process(),432,0.018999
process(),433,0.019001
process(),434,0.019
process(),435,0.019971
process(),436,0.020033
process(),437,0.019027
process(),438,0.018005
process(),439,0.018993
process(),440,0.018941
process(),441,0.019053
process(),442,0.019003
process(),443,0.018
process(),444,0.018998
process(),445,0.019003
process(),446,0.019001
process(),447,0.017999
process(),448,0.018005
process(),449,0.018998
process(),450,0.017998
