oid,vehicle_type,class,legislation,a1,b1,c1,d1,e1,f1,g1,h1,corr1,a2,b2,c2,d2,e2,f2,g2,h2,corr2
36,PC,Diesel <2.0l,EURO II,0.1978,-0.003925,2.24e-05,0.0,0.0,0,0,0,0.342,0.0,0.0,0.0,0.0,0.0,0,0,0,NULL
37,PC,Diesel <2.0l,EURO III,0.1681,-0.0033,1.904e-05,0.0,0.0,0,0,0,0.342,0.0,0.0,0.0,0.0,0.0,0,0,0,NULL
38,PC,Diesel <2.0l,EURO IV,0.1365,-0.0027,1.5456e-05,0.0,0.0,0,0,0,0.342,0.0,0.0,0.0,0.0,0.0,0,0,0,NULL
39,PC,Diesel >2.0l,Conventional,0.0,0.0,0.0,4.61,-0.937,0,0,0,0.794,0.0,0.0,0.0,0.0,0.0,0,0,0,NULL
40,PC,Diesel >2.0l,EURO I,0.1978,-0.003925,2.24e-05,0.0,0.0,0,0,0,0.342,0.0,0.0,0.0,0.0,0.0,0,0,0,NULL
41,PC,Diesel >2.0l,EURO II,0.1978,-0.003925,2.24e-05,0.0,0.0,0,0,0,0.342,0.0,0.0,0.0,0.0,0.0,0,0,0,NULL
42,PC,Diesel >2.0l,EURO III,0.1681,-0.0033,1.904e-05,0.0,0.0,0,0,0,0.342,0.0,0.0,0.0,0.0,0.0,0,0,0,NULL
43,PC,Diesel >2.0l,EURO IV,0.1365,-0.0027,1.5456e-05,0.0,0.0,0,0,0,0.342,0.0,0.0,0.0,0.0,0.0,0,0,0,NULL
44,PC,LPG,Conventional,0.0,0.0,0.0,26.3,-0.865,0,0,0,0.967,0.0,0.0,0.0,0.0,0.0,0,0,0,NULL
45,PC,LPG,EURO I,0.7431,-0.0166,0.0001,0.0,0.0,0,0,0,NULL,0.0,0.0,0.0,0.0,0.0,0,0,0,NULL
46,PC,LPG,EURO II,0.1635,-0.0037,2.2e-05,0.0,0.0,0,0,0,NULL,0.0,0.0,0.0,0.0,0.0,0,0,0,NULL
47,PC,LPG,EURO III,0.1115,-0.0025,1.5e-05,0.0,0.0,0,0,0,NULL,0.0,0.0,0.0,0.0,0.0,0,0,0,NULL
48,PC,LPG,EURO IV,0.0273,-0.00060922,3.67e-06,0.0,0.0,0,0,0,NULL,0.0,0.0,0.0,0.0,0.0,0,0,0,NULL
49,PC,Gasoline 2-Stroke,Conventional,9.5,0.0,0.0,0.0,0.0,0,0,0,NULL,0.0,0.0,0.0,0.0,0.0,0,0,0,NULL
50,LDV,Gasoline <3.5t,Conventional,5.4734,-0.117,0.000677,0.0,0.0,0,0,0,0.771,0.0,0.0,0.0,0.0,0.0,0,0,0,NULL
51,LDV,Gasoline <3.5t,EURO I,0.5462,-0.01047,5.77e-05,0.0,0.0,0,0,0,0.358,0.0,0.0,0.0,0.0,0.0,0,0,0,NULL
52,LDV,Gasoline <3.5t,EURO II,1.3136,-0.0025,1.3848e-05,0.0,0.0,0,0,0,NULL,0.0,0.0,0.0,0.0,0.0,0,0,0,NULL
53,LDV,Gasoline <3.5t,EURO III,0.7663,-0.0015,8.078e-06,0.0,0.0,0,0,0,NULL,0.0,0.0,0.0,0.0,0.0,0,0,0,NULL
54,LDV,Gasoline <3.5t,EURO IV,0.3284,-0.0006282,3.462e-06,0.0,0.0,0,0,0,NULL,0.0,0.0,0.0,0.0,0.0,0,0,0,NULL
55,LDV,Diesel <3.5t,Conventional,0.2162,-0.00284,1.75e-05,0.0,0.0,0,0,0,0.0373,0.0,0.0,0.0,0.0,0.0,0,0,0,NULL
56,LDV,Diesel <3.5t,EURO I,0.2162,-0.00284,1.75e-05,0.0,0.0,0,0,0,0.0373,0.0,0.0,0.0,0.0,0.0,0,0,0,NULL
57,LDV,Diesel <3.5t,EURO II,0.2162,-0.00284,1.75e-05,0.0,0.0,0,0,0,0.0373,0.0,0.0,0.0,0.0,0.0,0,0,0,NULL
58,LDV,Diesel <3.5t,EURO III,0.134,-0.0018,1.085e-05,0.0,0.0,0,0,0,0.0373,0.0,0.0,0.0,0.0,0.0,0,0,0,NULL
59,LDV,Diesel <3.5t,EURO IV,0.0497,-0.0006532,4.025e-06,0.0,0.0,0,0,0,NULL,0.0,0.0,0.0,0.0,0.0,0,0,0,NULL
60,HDV,Gasoline >3.5t,Conventional,6.5,0.0,0.0,0.0,0.0,0,0,0,NULL,0.0,0.0,0.0,0.0,0.0,0,0,0,NULL
61,HDV,Diesel <7.5t,Conventional,0.0,0.0,0.0,40.12,-0.8774,0,0,0,0.976,0.0,0.0,0.0,0.0,0.0,0,0,0,0.26
62,HDV,Diesel <7.5t,EURO I,0.0,0.0,0.0,30.09,-0.8774,0,0,0,NULL,0.0,0.0,0.0,0.0,0.0,0,0,0,NULL
63,HDV,Diesel <7.5t,EURO II,0.0,0.0,0.0,28.084,-0.8774,0,0,0,NULL,0.0,0.0,0.0,0.0,0.0,0,0,0,NULL
64,HDV,Diesel <7.5t,EURO III,0.0,0.0,0.0,19.6588,-0.8774,0,0,0,NULL,0.0,0.0,0.0,0.0,0.0,0,0,0,NULL
65,HDV,Diesel <7.5t,EURO IV,0.0,0.0,0.0,13.7612,-0.8774,0,0,0,NULL,0.0,0.0,0.0,0.0,0.0,0,0,0,NULL
66,HDV,Diesel 7.5-16t,Conventional,0.0,0.0,0.0,40.12,-0.8774,0,0,0,0.976,0.0,0.0,0.0,0.0,0.0,0,0,0,0.44
67,HDV,Diesel 7.5-16t,EURO I,0.0,0.0,0.0,30.09,-0.8774,0,0,0,NULL,0.0,0.0,0.0,0.0,0.0,0,0,0,NULL
68,HDV,Diesel 7.5-16t,EURO II,0.0,0.0,0.0,28.084,-0.8774,0,0,0,NULL,0.0,0.0,0.0,0.0,0.0,0,0,0,NULL
69,HDV,Diesel 7.5-16t,EURO III,0.0,0.0,0.0,19.6588,-0.8774,0,0,0,NULL,0.0,0.0,0.0,0.0,0.0,0,0,0,NULL
70,HDV,Diesel 7.5-16t,EURO IV,0.0,0.0,0.0,13.7612,-0.8774,0,0,0,NULL,0.0,0.0,0.0,0.0,0.0,0,0,0,NULL
71,HDV,Diesel 16-32t,Conventional,0.0,0.0,0.0,40.12,-0.8774,0,0,0,0.976,0.0,0.0,0.0,0.0,0.0,0,0,0,NULL
72,HDV,Diesel 16-32t,EURO I,0.0,0.0,0.0,26.748,-0.8774,0,0,0,NULL,0.0,0.0,0.0,0.0,0.0,0,0,0,NULL
73,HDV,Diesel 16-32t,EURO II,0.0,0.0,0.0,22.736,-0.8774,0,0,0,NULL,0.0,0.0,0.0,0.0,0.0,0,0,0,NULL
74,HDV,Diesel 16-32t,EURO III,0.0,0.0,0.0,15.9156,-0.8774,0,0,0,NULL,0.0,0.0,0.0,0.0,0.0,0,0,0,NULL
