oid,aircraft_group,FF_NL_in_kg_s,FF_NR_in_kg_s,FF_HL_in_kg_s,NOx_NL_in_g_s,NOx_NR_in_g_s,NOx_HL_in_g_s,HC_NL_in_g_s,HC_NR_in_g_s,HC_HL_in_g_s,CO_NL_in_g_s,CO_NR_in_g_s,CO_HL_in_g_s
0,JET LARGE OLD,0.05694444444444444,0.08333333333333333,0.09583333333333334,0.31583333333333335,0.5752777777777778,0.7347222222222222,0.08388888888888889,0.042499999999999996,0.034722222222222224,1.5,1.0263888888888888,0.7083333333333333
1,JET LARGE,0.04722222222222222,0.06527777777777778,0.0875,0.3361111111111111,0.8033333333333332,1.1244444444444444,0.049999999999999996,0.021666666666666667,0.021111111111111112,0.41277777777777774,0.041388888888888885,0.05333333333333333
2,JET SMALL,0.020833333333333332,0.027777777777777776,0.034722222222222224,0.10111111111111111,0.22361111111111112,0.2819444444444444,0.7394444444444445,0.02611111111111111,0.025277777777777777,1.0372222222222223,0.11638888888888888,0.13749999999999998
3,JET MEDIUM,0.029166666666666667,0.05,0.05555555555555555,0.22166666666666668,0.48777777777777775,0.5808333333333334,0.06749999999999999,0.019444444444444445,0.016388888888888887,0.2727777777777778,0.06888888888888889,0.06638888888888889
4,JET REGIONAL,0.013888888888888888,0.025,0.029166666666666667,0.0763888888888889,0.12555555555555556,0.14722222222222223,0.02972222222222222,0.012222222222222221,0.011666666666666667,0.2830555555555555,0.22194444444444444,0.22361111111111112
5,JET BUSINESS,0.013888888888888888,0.025,0.029166666666666667,0.0763888888888889,0.12555555555555556,0.14722222222222223,0.02972222222222222,0.012222222222222221,0.011666666666666667,0.2830555555555555,0.22194444444444444,0.22361111111111112
