vehicle_category,fuel,euro_standard,country,pollutant,hot-cold-evaporation,evaporation_split,10,20,30,40,50,60,70,80,90,100,110,120,130
Buses,Diesel,Conventional,Albania,CH4,Hot,,0.17500000000000004,0.17500000000000004,0.17500000000000004,0.17500000000000004,0.12750000000000003,0.08000000000000003,0.08000000000000003,0.07000000000000008,0.07000000000000008,0.07000000000000008,0.07000000000000008,0.07000000000000008,0.07000000000000008
Buses,Diesel,Conventional,Austria,CH4,Hot,,0.1749999999999999,0.1749999999999999,0.1749999999999999,0.1749999999999999,0.12749999999999984,0.0799999999999998,0.0799999999999998,0.06999999999999977,0.06999999999999977,0.06999999999999977,0.06999999999999977,0.06999999999999977,0.06999999999999977
Buses,Diesel,Conventional,Belgium,CH4,Hot,,0.17500000000000002,0.17500000000000007,0.17500000000000002,0.17500000000000002,0.12750000000000006,0.08000000000000011,0.08000000000000011,0.06999999999999995,0.06999999999999995,0.06999999999999995,0.06999999999999995,0.06999999999999995,0.06999999999999995
Buses,Diesel,Conventional,Bulgaria,CH4,Hot,,0.1750000000000001,0.1750000000000001,0.1750000000000001,0.1750000000000001,0.12750000000000009,0.08000000000000006,0.08000000000000006,0.06999999999999994,0.06999999999999994,0.06999999999999994,0.06999999999999994,0.06999999999999994,0.06999999999999994
Buses,Diesel,Conventional,Croatia,CH4,Hot,,0.17499999999999993,0.17499999999999993,0.17499999999999993,0.17499999999999993,0.12749999999999997,0.08000000000000003,0.08000000000000003,0.06999999999999998,0.06999999999999998,0.06999999999999998,0.06999999999999998,0.06999999999999998,0.06999999999999998
Buses,Diesel,Conventional,Cyprus,CH4,Hot,,0.1750000000000001,0.1750000000000001,0.1750000000000001,0.1750000000000001,0.1275,0.07999999999999993,0.07999999999999993,0.07000000000000002,0.07000000000000002,0.07000000000000002,0.07000000000000002,0.07000000000000002,0.07000000000000002
Buses,Diesel,Conventional,Czech Republic,CH4,Hot,,0.1749999999999999,0.1749999999999999,0.1749999999999999,0.1749999999999999,0.12749999999999995,0.07999999999999999,0.07999999999999996,0.06999999999999998,0.06999999999999998,0.06999999999999998,0.06999999999999998,0.06999999999999998,0.06999999999999998
Buses,Diesel,Conventional,Denmark,CH4,Hot,,0.175,0.175,0.175,0.175,0.1275,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07
Buses,Diesel,Conventional,EU27,CH4,Hot,,0.17499999999999993,0.17499999999999993,0.17499999999999993,0.175,0.12749999999999995,0.07999999999999997,0.07999999999999997,0.06999999999999998,0.06999999999999998,0.06999999999999998,0.06999999999999998,0.06999999999999998,0.06999999999999998
Buses,Diesel,Conventional,Estonia,CH4,Hot,,0.175,0.175,0.175,0.175,0.1275,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07
