oid,engine_type,engine_full_name,engine_name,thrust,mode,fuel_kg_sec,co_ei,hc_ei,nox_ei,sox_ei,pm10_ei,p1_ei,p2_ei,smoke_number,smoke_number_maximum,fuel_type,manufacturer,source,remark,status,engine_name_type,coolant,combustion_technology,technology_age,pm10_nonvol,pm10_sul,pm10_organic,eng_type,bpr,nvpm_ei,nvpm_number_ei,press_ratio,meem_nvpm_m_i_f00_avg,meem_nvpm_n_i_f00_avg,nvpm_m_max_mgkg,nvpm_n_max_nkg
19,J,6AL005,6AL005,0.3,AP,0.113,3.9099999999999993,0.655,7.1000000000000005,0.0,0.0976442477876106,0.0976442477876106,0.0976442477876106,,,Jet Fuel,,ACT_PRF (CAEP14/ICAO EEDB),,,,,,,0.0118405309734513,0.04896,0.0368437168141592,J,,0.0118405309734513,67477100000000.0,,,,,
20,J,6AL005,6AL005,0.07,TX,0.0461,23.73,3.818004338394793,3.47,0.0,0.0876318872017353,0.0876318872017353,0.0876318872017353,,,Jet Fuel,,ACT_PRF (CAEP14/ICAO EEDB),,,,,,,0.0151149240780911,0.0489600867678958,0.0235570498915401,J,,0.0151149240780911,35140900000000.0,,,,,
21,J,6AL006,6AL006,1.0,TO,0.3826,0.12,0.0001,22.41,0.0,0.0554022477783585,0.0554022477783585,0.0554022477783585,,,Jet Fuel,,ACT_PRF (CAEP14/ICAO EEDB),,,,,,,0.0064307370622059,0.048960010454783,1.15e-05,J,,0.0064307370622059,15510300000000.0,,,,,
22,J,6AL006,6AL006,0.85,CL,0.318,0.01,0.0001,19.58,0.0,0.0562525157232704,0.0562525157232704,0.0562525157232704,,,Jet Fuel,,ACT_PRF (CAEP14/ICAO EEDB),,,,,,,0.0072849056603773,0.0489600628930817,7.6e-06,J,,0.0072849056603773,14603800000000.0,,,,,
23,J,6AL006,6AL006,0.3,AP,0.113,1.36,0.18,7.2,0.0,0.0709255752212389,0.0709255752212389,0.0709255752212389,,,Jet Fuel,,ACT_PRF (CAEP14/ICAO EEDB),,,,,,,0.0118405309734513,0.04896,0.0101250442477876,J,,0.0118405309734513,67477100000000.0,,,,,
24,J,6AL006,6AL006,0.07,TX,0.0461,32.59,5.039999999999999,3.19,0.0,0.0951718004338394,0.0951718004338394,0.0951718004338394,,,Jet Fuel,,ACT_PRF (CAEP14/ICAO EEDB),,,,,,,0.0151149240780911,0.0489600867678958,0.0310967462039045,J,,0.0151149240780911,35140900000000.0,,,,,
25,J,4AL002,4AL002,1.0,TO,0.38,0.7899999999999999,0.2599999999999999,19.78,0.0,0.0960210526315789,0.0960210526315789,0.0960210526315789,,,Jet Fuel,,ACT_PRF (CAEP14/ICAO EEDB),,,,,,,0.0171610263157894,0.0489599999999999,0.0299,J,,0.0171610263157894,41109500000000.0,,,,,
26,J,4AL002,4AL002,0.85,CL,0.319,0.97,0.3,16.84,0.0,0.0893721003134796,0.0893721003134796,0.0893721003134796,,,Jet Fuel,,ACT_PRF (CAEP14/ICAO EEDB),,,,,,,0.0176120376175548,0.0489598746081504,0.0227999999999999,J,,0.0176120376175548,35417300000000.0,,,,,
27,J,4AL002,4AL002,0.3,AP,0.117,3.8,0.7200000000000001,7.219999999999999,0.0,0.1052333333333333,0.1052333333333333,0.1052333333333333,,,Jet Fuel,,ACT_PRF (CAEP14/ICAO EEDB),,,,,,,0.0157733333333333,0.04896,0.0404999999999999,J,,0.0157733333333333,93071300000000.0,,,,,
28,J,4AL002,4AL002,0.07,TX,0.05,22.430000000000003,3.1,3.52,0.0,0.0882222,0.0882222,0.0882222,,,Jet Fuel,,ACT_PRF (CAEP14/ICAO EEDB),,,,,,,0.0201352,0.04896,0.0191269999999999,J,,0.0201352,50773100000000.0,,,,,
29,J,6AL007,6AL007,1.0,TO,0.3826,0.75,0.03,16.17,0.0,0.0588408259278619,0.0588408259278619,0.0588408259278619,,,Jet Fuel,,ACT_PRF (CAEP14/ICAO EEDB),,,,,,,0.0064307370622059,0.048960010454783,0.00345,J,,0.0064307370622059,15510300000000.0,,,,,
30,J,6AL007,6AL007,0.85,CL,0.318,0.5599999999999999,0.03,14.07,0.0,0.0585248427672956,0.0585248427672956,0.0585248427672956,,,Jet Fuel,,ACT_PRF (CAEP14/ICAO EEDB),,,,,,,0.0072849056603773,0.0489600628930817,0.00228,J,,0.0072849056603773,14603800000000.0,,,,,
31,J,6AL007,6AL007,0.3,AP,0.113,6.720000000000001,0.03,7.129999999999999,0.0,0.0624880530973451,0.0624880530973451,0.0624880530973451,,,Jet Fuel,,ACT_PRF (CAEP14/ICAO EEDB),,,,,,,0.0118405309734513,0.04896,0.0016875044247787,J,,0.0118405309734513,67477100000000.0,,,,,
32,J,6AL007,6AL007,0.07,TX,0.0461,39.91,3.85,4.17,0.0,0.0878295010845987,0.0878295010845987,0.0878295010845987,,,Jet Fuel,,ACT_PRF (CAEP14/ICAO EEDB),,,,,,,0.0151149240780911,0.0489600867678958,0.0237544468546637,J,,0.0151149240780911,35140900000000.0,,,,,
33,J,6AL008,6AL008,1.0,TO,0.3805,0.7699999999999999,0.222,19.57,0.0,0.0916783180026281,0.0916783180026281,0.0916783180026281,,,Jet Fuel,,ACT_PRF (CAEP14/ICAO EEDB),,,,,,,0.0171883311432325,0.0489600525624178,0.0255300131406044,J,,0.0171883311432325,41229100000000.0,,,,,
34,J,6AL008,6AL008,0.85,CL,0.3163,0.97,0.258,16.549999999999997,0.0,0.0758529876699336,0.0758529876699336,0.0758529876699336,,,Jet Fuel,,ACT_PRF (CAEP14/ICAO EEDB),,,,,,,0.0072849193803351,0.0489598482453367,0.0196079987353778,J,,0.0072849193803351,14525800000000.0,,,,,
35,J,6AL008,6AL008,0.3,AP,0.1125,3.93,0.6579999999999999,7.07,0.0,0.0978133333333333,0.0978133333333333,0.0978133333333333,,,Jet Fuel,,ACT_PRF (CAEP14/ICAO EEDB),,,,,,,0.0118405333333333,0.0489599999999999,0.0370125333333333,J,,0.0118405333333333,67178500000000.0,,,,,
36,J,6AL008,6AL008,0.07,TX,0.0459,23.95,3.92,3.4599999999999995,0.0,0.0882614379084967,0.0882614379084967,0.0882614379084967,,,Jet Fuel,,ACT_PRF (CAEP14/ICAO EEDB),,,,,,,0.0151149237472766,0.0489599128540304,0.0241864923747276,J,,0.0151149237472766,34988400000000.0,,,,,
37,J,6AL009,6AL009,1.0,TO,0.3805,0.0001,0.0001,22.309999999999995,0.0,0.0554021024967148,0.0554021024967148,0.0554021024967148,,,Jet Fuel,,ACT_PRF (CAEP14/ICAO EEDB),,,,,,,0.0064307227332457,0.0489600525624178,1.15e-05,J,,0.0064307227332457,15425200000000.0,,,,,
38,J,6AL009,6AL009,0.85,CL,0.3163,0.0001,0.0001,19.49,0.0,0.0562526082832753,0.0562526082832753,0.0562526082832753,,,Jet Fuel,,ACT_PRF (CAEP14/ICAO EEDB),,,,,,,0.0072849193803351,0.0489598482453367,7.6e-06,J,,0.0072849193803351,14525800000000.0,,,,,
39,J,6AL009,6AL009,0.3,AP,0.1125,1.4,0.18,7.16,0.0,0.0709256,0.0709256,0.0709256,,,Jet Fuel,,ACT_PRF (CAEP14/ICAO EEDB),,,,,,,0.0118405333333333,0.0489599999999999,0.0101249777777777,J,,0.0118405333333333,67178500000000.0,,,,,
40,J,6AL009,6AL009,0.07,TX,0.0459,32.84,5.1,3.19,0.0,0.0955418300653594,0.0955418300653594,0.0955418300653594,,,Jet Fuel,,ACT_PRF (CAEP14/ICAO EEDB),,,,,,,0.0151149237472766,0.0489599128540304,0.0314671023965141,J,,0.0151149237472766,34988400000000.0,,,,,
