oid,profile_id,arrival_departure,stage,point,weight_lbs,horizontal_feet,vertical_feet,tas_knots,weight_kgs,horizontal_metres,vertical_metres,tas_metres,power,mode,course,fuel_flow_kgm
1,COMJET-A-1,A,1,1,0,-114486.8,6000,273.4,0,-34895.57664,1828.8,140.6491111,,AP,ANP2.1,
2,COMJET-A-1,A,1,2,0,-57243.4,3000,150.6,0,-17447.78832,914.4,77.47533333,,AP,ANP2.1,
3,COMJET-A-1,A,1,3,0,-28621.7,1500,137.1,0,-8723.89416,457.2,70.53033333,,AP,ANP2.1,
4,COMJET-A-1,A,1,4,0,-19081.1,1000,125.9,0,-5815.91928,304.8,64.76855555,,AP,ANP2.1,
5,COMJET-A-1,A,1,5,0,0,0,124.1,0,0,0,63.84255556,,AP,ANP2.1,
6,COMJET-A-1,A,1,6,0,164.6,0,117.7,0,50.17008,0,60.55011111,,AP,ANP2.1,
7,COMJET-A-1,A,1,7,0,1646,0,30,0,501.7008,0,15.43333333,,AP,ANP2.1,
8,COMJET-D-1,D,1,1,0,0,0,0,0,0,0,0,,TO,ANP2.1,
9,COMJET-D-1,D,1,2,0,2826.3,0,139.1,0,861.45624,0,71.55922222,,TO,ANP2.1,
10,COMJET-D-1,D,1,3,0,4918,195.8,154.4,0,1499.0064,59.67984,79.43022222,,TO,ANP2.1,
11,COMJET-D-1,D,1,4,0,9423.7,1000,156.2,0,2872.3,304.8,80.4,,TO,ANP2.1,
12,COMJET-D-1,D,1,5,0,12225,1500,157.4,0,3726.18,457.2,80.97355555,,CL,ANP2.1,
13,COMJET-D-1,D,1,6,0,15643.6,1775.1,183.7,0,4768.16928,541.05048,94.50344444,,CL,ANP2.1,
14,COMJET-D-1,D,1,7,0,16643.6,1952.6,184.2,0,5072.96928,595.15248,94.76066667,,CL,ANP2.1,
15,COMJET-D-1,D,1,8,0,22546.7,3000,187.1,0,6872.23416,914.4,96.25255555,,CL,ANP2.1,
16,COMJET-D-1,D,1,9,0,40617.3,4379.5,266.8,0,12380.15304,1334.8716,137.2537778,,CL,ANP2.1,
17,COMJET-D-1,D,1,10,0,48888.3,5500,271.4,0,14901.15384,1676.4,139.6202222,,CL,ANP2.1,
18,COMJET-D-1,D,1,11,0,64299.7,7500,279.8,0,19598.54856,2286,143.9415556,,CL,ANP2.1,
19,COMJET-D-1,D,1,12,0,85030.5,10000,290.9,0,25917.2964,3048,149.6518889,,CL,ANP2.1,
20,COMJET-D-2,D,2,1,0,0,0,0,0,0,0,0,,TO,ANP2.1,
21,COMJET-D-2,D,2,2,0,2826.3,0,139.1,0,861.45624,0,71.55922222,,TO,ANP2.1,
22,COMJET-D-2,D,2,3,0,4918,195.8,154.4,0,1499.0064,59.67984,79.43022222,,TO,ANP2.1,
23,COMJET-D-2,D,2,4,0,9423.7,1000,156.2,0,2872.3,304.8,80.4,,TO,ANP2.1,
24,COMJET-D-2,D,2,5,0,12225,1500,157.4,0,3726.18,457.2,80.97355555,,CL,ANP2.1,
25,COMJET-D-2,D,2,6,0,15643.6,1775.1,183.7,0,4768.16928,541.05048,94.50344444,,CL,ANP2.1,
26,COMJET-D-2,D,2,7,0,16643.6,1952.6,184.2,0,5072.96928,595.15248,94.76066667,,CL,ANP2.1,
27,COMJET-D-2,D,2,8,0,22546.7,3000,187.1,0,6872.23416,914.4,96.25255555,,CL,ANP2.1,
28,COMJET-D-2,D,2,9,0,40617.3,4379.5,266.8,0,12380.15304,1334.8716,137.2537778,,CL,ANP2.1,
29,COMJET-D-2,D,2,10,0,48888.3,5500,271.4,0,14901.15384,1676.4,139.6202222,,CL,ANP2.1,
30,COMJET-D-2,D,2,11,0,64299.7,7500,279.8,0,19598.54856,2286,143.9415556,,CL,ANP2.1,
31,COMJET-D-2,D,2,12,0,85030.5,10000,290.9,0,25917.2964,3048,149.6518889,,CL,ANP2.1,
32,COMJET-D-3,D,3,1,0,0,0,0,0,0,0,0,,TO,ANP2.1,
33,COMJET-D-3,D,3,2,0,2826.3,0,139.1,0,861.45624,0,71.55922222,,TO,ANP2.1,
34,COMJET-D-3,D,3,3,0,4918,195.8,154.4,0,1499.0064,59.67984,79.43022222,,TO,ANP2.1,
35,COMJET-D-3,D,3,4,0,9423.7,1000,156.2,0,2872.3,304.8,80.4,,TO,ANP2.1,
36,COMJET-D-3,D,3,5,0,12225,1500,157.4,0,3726.18,457.2,80.97355555,,CL,ANP2.1,
37,COMJET-D-3,D,3,6,0,15643.6,1775.1,183.7,0,4768.16928,541.05048,94.50344444,,CL,ANP2.1,
38,COMJET-D-3,D,3,7,0,16643.6,1952.6,184.2,0,5072.96928,595.15248,94.76066667,,CL,ANP2.1,
39,COMJET-D-3,D,3,8,0,22546.7,3000,187.1,0,6872.23416,914.4,96.25255555,,CL,ANP2.1,
40,COMJET-D-3,D,3,9,0,40617.3,4379.5,266.8,0,12380.15304,1334.8716,137.2537778,,CL,ANP2.1,
41,COMJET-D-3,D,3,10,0,48888.3,5500,271.4,0,14901.15384,1676.4,139.6202222,,CL,ANP2.1,
42,COMJET-D-3,D,3,11,0,64299.7,7500,279.8,0,19598.54856,2286,143.9415556,,CL,ANP2.1,
43,COMJET-D-3,D,3,12,0,85030.5,10000,290.9,0,25917.2964,3048,149.6518889,,CL,ANP2.1,
44,COMJET-D-4,D,4,1,0,0,0,0,0,0,0,0,,TO,ANP2.1,
45,COMJET-D-4,D,4,2,0,2826.3,0,139.1,0,861.45624,0,71.55922222,,TO,ANP2.1,
46,COMJET-D-4,D,4,3,0,4918,195.8,154.4,0,1499.0064,59.67984,79.43022222,,TO,ANP2.1,
47,COMJET-D-4,D,4,4,0,9423.7,1000,156.2,0,2872.3,304.8,80.4,,TO,ANP2.1,
48,COMJET-D-4,D,4,5,0,12225,1500,157.4,0,3726.18,457.2,80.97355555,,CL,ANP2.1,
49,COMJET-D-4,D,4,6,0,15643.6,1775.1,183.7,0,4768.16928,541.05048,94.50344444,,CL,ANP2.1,
50,COMJET-D-4,D,4,7,0,16643.6,1952.6,184.2,0,5072.96928,595.15248,94.76066667,,CL,ANP2.1,
51,COMJET-D-4,D,4,8,0,22546.7,3000,187.1,0,6872.23416,914.4,96.25255555,,CL,ANP2.1,
52,COMJET-D-4,D,4,9,0,40617.3,4379.5,266.8,0,12380.15304,1334.8716,137.2537778,,CL,ANP2.1,
53,COMJET-D-4,D,4,10,0,48888.3,5500,271.4,0,14901.15384,1676.4,139.6202222,,CL,ANP2.1,
54,COMJET-D-4,D,4,11,0,64299.7,7500,279.8,0,19598.54856,2286,143.9415556,,CL,ANP2.1,
55,COMJET-D-4,D,4,12,0,85030.5,10000,290.9,0,25917.2964,3048,149.6518889,,CL,ANP2.1,
56,COMJET-D-5,D,5,1,0,0,0,0,0,0,0,0,,TO,ANP2.1,
57,COMJET-D-5,D,5,2,0,2826.3,0,139.1,0,861.45624,0,71.55922222,,TO,ANP2.1,
58,COMJET-D-5,D,5,3,0,4918,195.8,154.4,0,1499.0064,59.67984,79.43022222,,TO,ANP2.1,
