oid;icao;ac_group_code;ac_group;manufacturer;name;class;mtow;engine_count;engine_name;engine;departure_profile;arrival_profile;bada_id;wake_category;apu_id
1671;ALO3;H1;HELICOPTER LIGHT;AEROSPATIALE;Alouette 3 SA-316/319/SE-31;H1T/-;2201;1;PT6A-20;PT6A-20;HELIPROF-D-1;HELIPROF-A-1;P46T;L;NONE
1672;B407;H1;HELICOPTER LIGHT;BELL;407;H1T/-;2270;1;PT6A-21;PT6A-21;HELIPROF-D-1;HELIPROF-A-1;P46T;L;NONE
1673;EC20;H1;HELICOPTER LIGHT;EUROCOPTER;EC-120 Colibri;H1T/-;1707;1;PW206C;PW206C Turboshaft;HELIPROF-D-1;HELIPROF-A-1;P46T;L;NONE
1674;GAZL;H1;HELICOPTER LIGHT;AEROSPATIALE;SA-341/342 Gazelle;H1T/-;1823;1;PW206E;PW206E Turboshaft;HELIPROF-D-1;HELIPROF-A-1;P46T;L;NONE
1675;P46T;TP;TURBOPROP;JETPROP;DLX;L1T/L;2000;1;PT6A-112;PT6A-112;DHC6-D-1;DHC6-A-1;P46T;L;NONE
1676;PC7;TP;TURBOPROP;PILATUS;PC-7 Astra (Turbo Trainer);L1T/L;1900;1;PT6A-21;PT6A-21;DHC6-D-1;DHC6-A-1;P46T;L;NONE
1677;KODI;TP;TURBOPROP;QUEST;Kodiak;L1T/L;3290.812644;1;PT6A-34;PT6A-34;DHC6-D-1;DHC6-A-1;P750;L;
1678;P750;TP;TURBOPROP;PACIFIC AEROSPACE;750XL;L1T/L;3401.942775;1;PT6A-34;PT6A-34;DHC6-D-1;DHC6-A-1;P750;L;
1679;PZ3T;TP;TURBOPROP;PZL-OKECIE;Orlik;L1T/L;2700;1;PT6A-25C;PT6A-25C;DHC6-D-1;DHC6-A-1;P750;L;
1680;PZ6T;TP;TURBOPROP;PZL-OKECIE;PZL106ATTurboJavelin;L1T/L;3500;1;PT6A-34;PT6A-34;DHC6-D-1;DHC6-A-1;P750;L;
1681;SS2T;TP;TURBOPROP;AYRES;S2RGTurboThrush;L1T/L;2700;1;PT6A-34;PT6A-34;DHC6-D-1;DHC6-A-1;P750;L;
1682;TUCA;TP;TURBOPROP;AOI;EMB-312 Tucano;L1T/L;2500;1;PT6A-25C;PT6A-25C;DHC6-D-1;DHC6-A-1;P750;L;NONE
1683;AC50;PP;PROPELLER;AERO (1);Commander 500;L2P/L;3096;2;O-540-J3C5D;O-540-J3C5D;BEC58P-D-1;BEC58P-A-1;PA27;L;NONE
1684;AC56;PP;PROPELLER;AERO (1);Commander 560;L2P/L;3024;2;IO-540-T4A5D;IO-540-T4A5D;BEC58P-D-1;BEC58P-A-1;PA27;L;NONE
1685;BE55;PP;PROPELLER;BEECH;Baron 55;L2P/L;2354;2;O-540-J3C5D;O-540-J3C5D;BEC58P-D-1;BEC58P-A-1;PA27;L;NONE
1686;BN2P;PP;PROPELLER;BRITTEN-NORMAN;BN-2A/BN-2B Islander;L2P/L;2935;2;O-540-J3C5D;O-540-J3C5D;BEC58P-D-1;BEC58P-A-1;PA27;L;NONE
1687;C310;PP;PROPELLER;CESSNA;310 T310;L2P/L;2460;2;O-540-J3C5D;O-540-J3C5D;BEC58P-D-1;BEC58P-A-1;PA27;L;NONE
1688;C82;PP;PROPELLER;FAIRCHILD (1);C-82 Packet (F-78);L2P/M;24494;2;O-540-J3C5D;O-540-J3C5D;HS748A-D-1;HS748A-A-1;PA27;M;NONE
1689;DO28;PP;PROPELLER;DORNIER;Do-28A/B (Agur);L2P/L;3862;2;IO-540-T4A5D;IO-540-T4A5D;BEC58P-D-1;BEC58P-A-1;PA27;L;NONE
1690;LA8;PP;PROPELLER;AEROVOLGA;Flagman;A2P/L;2300;2;O-540-J3C5D;O-540-J3C5D;BEC58P-D-1;BEC58P-A-1;PA27;L;
