FLIGHT_ID;FLIGHT_PHASE;POINT_INDEX;ORIGIN;LATITUDE;LONGITUDE;X;Y;LOCAL_DISTANCE_FT;TOTAL_DISTANCE_NM;ELEVATION_FT;DATE;TIME;TAS_KT;ANP_POWER_SETTING_1ENG_LB;TOTAL_NET_THRUST_N;FUEL_FLOW_KGM;TOTAL_FUEL_BURNT_KG;WEIGHT_KG
FLIGHT_1;ARRIVAL;1;VERTICAL_PROFILE;-0.11324309712808182;-0.22277794811381318;-13.390673727861772;-6.761216768772242;-114486.82012636928;0;6000;30/01/2023;15:01:47;275.5816965336915;706.552358725763;9998.942874070914;94.72699152582045;;230243.48720508005
FLIGHT_1;ARRIVAL;2;TRACK2D;-0.11075243436098592;-0.22277794811381318;-13.390673727861772;-6.612510920086393;-113583.2670321107;0.15;5952.646788865588;30/01/2023;15:01:49;274.2550503645957;705.4849702412469;9998.942874070914;94.79876319622974;3.1255955716244777;230243.48720508005
FLIGHT_1;ARRIVAL;3;SPEED_REFINEMENT;-0.07994013910748422;-0.22277794811381318;-13.390673727861772;-4.772852586504168;-102405.3006348484;2;5366.834393084614;30/01/2023;15:02:14;257.27777871072135;692.1440464065273;9998.942874070914;95.68665939939612;43.34183041712599;230243.48720508005
FLIGHT_1;ARRIVAL;4;TRACK2D;-0.05697419832665683;-0.22277794811381318;-13.390673727861772;-3.4016634557235426;-94073.80464542094;3.38;4930.199190173156;30/01/2023;15:02:34;243.85617689404637;681.5042779378423;9998.942874070912;96.34845278928937;75.42449649344906;230243.48720508005
FLIGHT_1;ARRIVAL;5;SPEED_REFINEMENT;-0.048955930107875495;-0.2220790545259174;-13.348664830279029;-2.9229300855471614;-91153.79036798466;3.86;4777.167726417947;30/01/2023;15:02:41;238.97386088775124;677.7357340872917;9998.942874070912;96.58039747756214;87.15457058967363;230243.48720508005
FLIGHT_1;ARRIVAL;6;TRACK2D;-0.047080586019853515;-0.22191559454647364;-13.338839624190065;-2.810962043196544;-90470.84595122104;3.97;4741.376126161614;30/01/2023;15:02:43;237.81750326021665;676.8009169471225;9998.942874070912;96.63464561378298;89.93847733554809;230243.48720508005
FLIGHT_1;ARRIVAL;7;TRACK2D;-0.04160266772876729;-0.22045910825782275;-13.251293559395249;-2.4839011101511876;-88413.62578081022;4.31;4633.561785534103;30/01/2023;15:02:48;234.29974413251855;673.9771500545202;9998.942874070912;96.79805622027635;98.41566549342573;230243.48720508005
FLIGHT_1;ARRIVAL;8;TRACK2D;-0.03893987118015801;-0.2197511267943937;-13.208738410367172;-2.3249179568034557;-87413.61946120061;4.48;4581.153675054356;30/01/2023;15:02:51;232.57055822919818;672.6002465896285;9998.942874070912;96.87748944947762;102.58937350260894;230243.48720508005
FLIGHT_1;ARRIVAL;9;TRACK2D;-0.03748539436972975;-0.2193644298764214;-13.185494941684665;-2.2380779352051836;-86867.3961582594;4.57;4552.52732475456;30/01/2023;15:02:52;231.62059114037683;671.8469629444123;9998.942874070912;96.92087745638578;104.88426916405254;230243.48720508005
FLIGHT_1;ARRIVAL;10;TRACK2D;-0.028487099163328415;-0.215196328309539;-12.934959874730023;-1.7008317278617713;-83265.53213108525;5.16;4363.761629810891;30/01/2023;15:03:02;225.25610272073854;666.8584124203529;9998.942874070912;97.20698334606782;120.28831491872724;230243.48720508005
FLIGHT_1;ARRIVAL;11;HEIGHT_REFINEMENT;-0.022766463576663388;-0.21121867253626955;-12.695872069529548;-1.3592792779773588;-80732.28932577807;5.58;4231;30/01/2023;15:03:09;220.6699430647811;663.327421768056;9998.942874070912;97.40820574092766;131.41381656153382;230243.48720508005
FLIGHT_1;ARRIVAL;12;TRACK2D;-0.02157882359576873;-0.21039288614330595;-12.646235935205185;-1.288370838012959;-80206.37216302265;5.67;4203.437849413151;30/01/2023;15:03:10;219.70582744518245;662.6715414308688;9998.942874070912;97.44998077810207;133.75698625442516;230243.48720508005
FLIGHT_1;ARRIVAL;13;TRACK2D;-0.02034792797380601;-0.2095370491706331;-12.594793529157668;-1.214879805615551;-79661.3057083077;5.76;4174.87212695986;30/01/2023;15:03:12;218.70212212650196;661.9910939345507;9998.942874070912;97.49327689605448;136.19865055679398;230243.48720508005
FLIGHT_1;ARRIVAL;14;TRACK2D;-0.013330163504682392;-0.20256623690343498;-12.17579392224622;-0.7958818444924406;-76060.88386355029;6.35;3986.182013593974;30/01/2023;15:03:22;211.95281566862616;657.4787273087306;9998.942874070912;97.77926824676835;152.64710794265775;230243.48720508005
FLIGHT_1;ARRIVAL;15;TRACK2D;-0.009188991133143365;-0.19668988397243928;-11.822579766738661;-0.5486317710583154;-73441.15130862295;6.78;3848.887648074744;30/01/2023;15:03:29;206.90356404830894;654.1758843971518;9998.942874070912;97.98736077146907;164.99182529083276;230243.48720508005
FLIGHT_1;ARRIVAL;16;SPEED_REFINEMENT;-0.007947431697794709;-0.19492809804527475;-11.716682837851668;-0.4745040521368494;-72655.73145660896;6.91;3807.725537825876;30/01/2023;15:03:32;205.3655643501891;653.1824076644958;9998.942874070912;98.04974882020605;168.75737143757286;230243.48720508005
FLIGHT_1;ARRIVAL;17;TRACK2D;-0.007632743672016711;-0.1944815524192837;-11.689842;-0.45571549892008645;-72456.65744081872;6.94;3797.292510745352;30/01/2023;15:03:32;204.9739068261988;652.9150308480077;9998.942874070912;98.06556181426187;169.71670216542645;230243.48720508005
