35, 'LKW', 'HDV', 2005, 'L4', 'LandsideZufahrtzumParking', 'Landside parking access', 20, 'IO_Kern', 'g/km', 0.038, 1.664, 2.01, 5.28, 0.276
36, 'LKW', 'HDV', 2005, 'L5', 'LandsideImParkhaus/Parking', 'Landside parking', 5, 'IO_Stop+Go', 'g/km', 0.109, 4.438, 5.741, 12.272, 0.736
37, 'LNF', 'LDV', 2005, 'A1', 'AirsideVorfelder', 'Airside movement area', 5, 'IO_Stop+Go', 'g/km', 0.011, 2.542, 0.315, 1.102, 0.154
38, 'LNF', 'LDV', 2005, 'A2', 'AirsideTerminalbereich', 'Airside terminal area', 20, 'IO_Kern', 'g/km', 0.003, 0.73, 0.117, 0.785, 0.057
39, 'PKW', 'PC', 2001, 'A1', 'AirsideVorfelder', 'Airside movement area', 5, 'IO_Stop+Go', 'g/km', 0.038, 7.477, 0.671, 0.464, 0.025
40, 'PKW', 'PC', 2001, 'A2', 'AirsideTerminalbereich', 'Airside terminal area', 20, 'IO_Kern', 'g/km', 0.012, 2.436, 0.234, 0.374, 0.009
41, 'PKW', 'PC', 2001, 'A3', 'AirsideUmfahrung', 'Airside by-pass', 42, 'IO_HVS2', 'g/km', 0.007, 1.409, 0.13, 0.325, 0.009
42, 'PKW', 'PC', 2001, 'L1', 'LandsideAutobahnalsZubringer', 'Landside motorway feeder', 87, 'AB_80_gebunden', 'g/km', 0.003, 0.633, 0.05, 0.243, 0.006
43, 'PKW', 'PC', 2001, 'L2', 'LandsideHauptstraﬂealsZubringer', 'Landside main road feeder', 34, 'IO_LSA1', 'g/km', 0.008, 1.601, 0.149, 0.331, 0.008
44, 'PKW', 'PC', 2001, 'L3', 'LandsideVorfahrtenbereich', 'Landside give-way area', 20, 'IO_Kern', 'g/km', 0.012, 2.436, 0.234, 0.374, 0.009
45, 'PKW', 'PC', 2001, 'L4', 'LandsideZufahrtzumParking', 'Landside parking access', 20, 'IO_Kern', 'g/km', 0.012, 2.436, 0.234, 0.374, 0.009
46, 'PKW', 'PC', 2001, 'L5', 'LandsideImParkhaus/Parking', 'Landside parking', 5, 'IO_Stop+Go', 'g/km', 0.038, 7.477, 0.671, 0.464, 0.025
47, 'LKW', 'HDV', 2001, 'A1', 'AirsideVorfelder', 'Airside movement area', 5, 'IO_Stop+Go', 'g/km', 0.139, 6.711, 7.323, 16.379, 1.259
48, 'LKW', 'HDV', 2001, 'A2', 'AirsideTerminalbereich', 'Airside terminal area', 20, 'IO_Kern', 'g/km', 0.049, 2.515, 2.564, 7.042, 0.472
49, 'LKW', 'HDV', 2001, 'A3', 'AirsideUmfahrung', 'Airside by-pass', 42, 'IO_HVS2', 'g/km', 0.023, 1.341, 1.215, 4.19, 0.245
50, 'LKW', 'HDV', 2001, 'L1', 'LandsideAutobahnalsZubringer', 'Landside motorway feeder', 87, 'AB_80_gebunden', 'g/km', 0.012, 1.045, 0.638, 4.034, 0.182
51, 'LKW', 'HDV', 2001, 'L2', 'LandsideHauptstraﬂealsZubringer', 'Landside main road feeder', 34, 'IO_LSA1', 'g/km', 0.026, 1.449, 1.36, 4.614, 0.27
52, 'LKW', 'HDV', 2001, 'L3', 'LandsideVorfahrtenbereich', 'Landside give-way area', 20, 'IO_Kern', 'g/km', 0.049, 2.515, 2.564, 7.042, 0.472
53, 'LKW', 'HDV', 2001, 'L4', 'LandsideZufahrtzumParking', 'Landside parking access', 20, 'IO_Kern', 'g/km', 0.049, 2.515, 2.564, 7.042, 0.472
54, 'LKW', 'HDV', 2001, 'L5', 'LandsideImParkhaus/Parking', 'Landside parking', 5, 'IO_Stop+Go', 'g/km', 0.139, 6.711, 7.323, 16.379, 1.259
55, 'LNF', 'LDV', 2001, 'A1', 'AirsideVorfelder', 'Airside movement area', 5, 'IO_Stop+Go', 'g/km', 0.024, 4.4, 0.615, 1.357, 0.264
56, 'LNF', 'LDV', 2001, 'A2', 'AirsideTerminalbereich', 'Airside terminal area', 20, 'IO_Kern', 'g/km', 0.007, 1.35, 0.239, 0.995, 0.095
57, 'LNF', 'LDV', 2001, 'A3', 'AirsideUmfahrung', 'Airside by-pass', 42, 'IO_HVS2', 'g/km', 0.004, 0.801, 0.132, 0.739, 0.074
58, 'LNF', 'LDV', 2001, 'L1', 'LandsideAutobahnalsZubringer', 'Landside motorway feeder', 87, 'AB_80_gebunden', 'g/km', 0.002, 0.582, 0.071, 0.749, 0.066
