'707', NULL, 'B701', 'B703', 'JT3C', NULL, 'B707-120/JT3C', 'INM 6.1 aircraft.dbf'
'CNA337', 'BEC58P', 'C337', 'PA34', NULL, NULL, 'Cessna 337 Super Skymaster', 'INM 6.1 acft_sub.dbf'
'CNA340', 'BEC58P', 'C340', 'PA31', NULL, NULL, 'Cessna 340', 'INM 6.1 acft_sub.dbf'
'CNA401', 'BEC58P', 'C401', NULL, NULL, NULL, 'Cessna 401', 'INM 6.1 acft_sub.dbf'
'CNA402', 'BEC58P', 'C402', 'PA31', NULL, NULL, 'Cessna 402', 'INM 6.1 acft_sub.dbf'
'CNA404', 'BEC58P', 'C404', NULL, NULL, NULL, 'Cessna 404 Titan', 'INM 6.1 acft_sub.dbf'
'CNA414', 'BEC58P', 'C414', 'C421', NULL, NULL, 'Cessna 414 Chancellor', 'INM 6.1 acft_sub.dbf'
'CNA421', 'BEC58P', 'C421', 'C421', NULL, NULL, 'Cessna 421 Golden Eagl', 'INM 6.1 acft_sub.dbf'
'CNA425', 'CNA441', 'C425', 'PAY2', NULL, NULL, 'Cessna 425 Corsair/Conquest I', 'INM 6.1 acft_sub.dbf'
'CNA441', NULL, 'C425', 'PAY2', 'TPE331-8', 'TPE8', 'CONQUEST II/TPE331-8', 'INM 6.1 aircraft.dbf'
'CNA500', NULL, 'C550', 'C550', 'JT15D-4', NULL, 'CIT 2/JT15D-4', 'INM 6.1 aircraft.dbf'
'CNA501', 'CNA500', 'C501', 'C550', NULL, NULL, 'Cessna Citation I Single Pilot (SP)', 'INM 6.1 acft_sub.dbf'
'CNA525', 'CNA500', 'C500', 'C550', NULL, NULL, 'Cessna Citation Jet', 'INM 6.1 acft_sub.dbf'
'CNA550', 'MU3001', 'C550', 'C550', NULL, NULL, 'Cessna Model 550 Citation II', 'INM 6.1 acft_sub.dbf'
'CNA551', 'MU3001', 'C551', 'C550', NULL, NULL, 'Cessna Citation II Single Pilot (SP)', 'INM 6.1 acft_sub.dbf'
'CNA55B', NULL, 'C550', 'C550', 'PW530A', NULL, 'Cessna 550 Citation Bravo / PW530A', 'INM 6.1 aircraft.dbf'
'CNA560', 'MU3001', 'C560', 'C560', NULL, NULL, 'Cessna 560 Citation V', 'INM 6.1 acft_sub.dbf'
'CNA650', 'CIT3', 'C650', 'LJ35', NULL, NULL, 'Cessna 650 Citation VII', 'INM 6.1 acft_sub.dbf'
'CNA750', NULL, 'C750', 'C750', 'AE3007C', '8AL025', 'Citation X / Rolls Royce Allison AE3007C', 'INM 6.1 aircraft.dbf'
'CNACAR', 'GASEPV', 'C185', NULL, NULL, NULL, 'Cessna AGCARRYALL', 'INM 6.1 acft_sub.dbf'
'CNATRK', 'GASEPV', 'C188', NULL, NULL, NULL, 'Cessna AGTRUCK', 'INM 6.1 acft_sub.dbf'
'CNAWAG', 'GASEPV', 'C188', NULL, NULL, NULL, 'Cessna AGWAGON', 'INM 6.1 acft_sub.dbf'
'CNV240', 'DC3', 'CVLP', NULL, NULL, NULL, 'Convair 240', 'INM 6.1 acft_sub.dbf'
'CNV600', 'HS748A', 'CVLT', 'AT43', NULL, NULL, 'Convair 600', 'INM 6.1 acft_sub.dbf'
'CNV640', 'HS748A', 'CVLT', 'AT43', NULL, NULL, 'Convair 640', 'INM 6.1 acft_sub.dbf'
'CNV880', 'DC820', 'CV88', NULL, NULL, NULL, 'Convair 880', 'INM 6.1 acft_sub.dbf'
'CNV990', '707', 'CV99', NULL, NULL, NULL, 'Convair 990', 'INM 6.1 acft_sub.dbf'
'COMJET', NULL, 'C402', 'PA31', NULL, NULL, '1985 BUSINESS JET', 'INM 6.1 aircraft.dbf'
'COMSEP', NULL, 'ZZPP', NULL, NULL, NULL, '1985 1-ENG COMP (piston)', 'INM 6.1 aircraft.dbf'
'CONCRD', NULL, 'CONC', 'FGTN', 'OLYMPUS-593-610', '1RR022', 'CONCORDE/OLY593', 'INM 6.1 aircraft.dbf'
'CONST', 'DC6', 'CONI', NULL, NULL, NULL, 'Lockheed Constellation', 'INM 6.1 acft_sub.dbf'
'CVR580', NULL, 'CVLT', 'AT43', '501-D15', NULL, 'CV580/ALL 501-D15', 'INM 6.1 aircraft.dbf'
'DALPHA', 'FAL20', 'AJET', 'FGTN', NULL, NULL, 'Dassault Alpha Jet', 'INM 6.1 acft_sub.dbf'
'DBMERC', '737D17', 'FA10', 'FA10', NULL, NULL, 'Dassault Mercur', 'INM 6.1 acft_sub.dbf'
'DC1010', NULL, 'DC10', 'DC10', 'CF6-6D', '1GE001', 'DC10-10/CF6-6D', 'INM 6.1 aircraft.dbf'
'DC1030', NULL, 'DC10', 'DC10', 'CF6-50C1-C2', '1GE007', 'DC10-30/CF6-50C2', 'INM 6.1 aircraft.dbf'
'DC1040', NULL, 'DC10', 'DC10', 'JT9D-20', '8PW088', 'DC10-40/JT9D-20', 'INM 6.1 aircraft.dbf'
'DC3', NULL, 'DC3', 'DH8C', 'R-1820-86', NULL, 'DC3/R1820-86', 'INM 6.1 aircraft.dbf'
'DC4', 'DC6', 'DC4', NULL, NULL, NULL, 'Douglas DC-4', 'INM 6.1 acft_sub.dbf'
'DC6', NULL, 'DC6', NULL, 'R-2800-CB17', NULL, 'DC6/R2800-CB17', 'INM 6.1 aircraft.dbf'
'DC7', 'DC6', 'DC7', NULL, NULL, NULL, 'Douglas DC-7', 'INM 6.1 acft_sub.dbf'
'DC820', NULL, 'DC85', 'DC87', 'JT4A', NULL, 'DC-8-20/JT4A', 'INM 6.1 aircraft.dbf'
'DC850', NULL, 'DC85', 'DC87', 'JT3D-3B', '1PW001', 'DC8-50/JT3D-3B', 'INM 6.1 aircraft.dbf'
'DC860', NULL, 'DC86', 'DC87', 'JT3D-7 SERIES', '1PW002', 'DC8-60/JT3D-7', 'INM 6.1 aircraft.dbf'
'DC86BT', 'DC8QN', 'DC86', 'DC87', NULL, NULL, 'DC8-62/63  w/Burbank Treatment', 'INM 6.1 acft_sub.dbf'
'DC870', NULL, 'DC87', 'DC87', 'CFM56-2C5', NULL, 'DC8-70/CFM56-2C-5', 'INM 6.1 aircraft.dbf'
'DC8QN', NULL, 'DC86', 'DC87', 'JT8D-7QN', NULL, 'DC8-60/JT8D-7QN', 'INM 6.1 aircraft.dbf'
'DC910', NULL, 'DC91', 'DC94', 'JT8D-7', NULL, 'DC9-10/JT8D-7', 'INM 6.1 aircraft.dbf'
'DC930', NULL, 'DC93', 'DC94', 'JT8D-9', NULL, 'DC9-30/JT8D-9', 'INM 6.1 aircraft.dbf'
'DC9317', 'DC9Q9', 'DC93', 'DC94', 'JT8D-17 &15', NULL, 'DC930 w/JT8D-17 &15', 'INM 6.1 acft_sub.dbf'
'DC937A', 'DC9Q9', 'DC93', 'DC94', 'JT8D-7 & 7A', NULL, 'DC930 w/JT8D-7 & 7A', 'INM 6.1 acft_sub.dbf'
'DC93LW', NULL, 'DC93', 'DC94', 'JT8D-9 w/ ABS Lightw', NULL, 'DC9-30/JT8D-9 w/ ABS Lightweight hushkit', 'INM 6.1 aircraft.dbf'
'DC9411', 'DC9Q9', 'DC94', 'DC94', 'JT8D-11', '1PW008', 'DC940 w/JT8D-11', 'INM 6.1 acft_sub.dbf'
'DC950', NULL, 'DC95', 'DC94', 'JT8D-17', '1PW012', 'DC9-50/JT8D-17', 'INM 6.1 aircraft.dbf'
'DC95HW', NULL, 'DC95', 'DC94', 'JT8D17 w/ ABS Heavyw', NULL, 'DC9-50/JT8D17 w/ ABS Heavyweight hushkit', 'INM 6.1 aircraft.dbf'
'DC9Q7', NULL, 'DC91', 'DC94', 'JT8D-7QN', NULL, 'DC9-10/JT8D-7QN', 'INM 6.1 aircraft.dbf'
'DC9Q9', NULL, 'DC93', 'DC94', 'JT8D-9QN', NULL, 'DC9-30/JT8D-9QN', 'INM 6.1 aircraft.dbf'
'DHC2', 'GASEPV', 'DHC2', NULL, NULL, NULL, 'De Havilland DHC-2 Beaver', 'INM 6.1 acft_sub.dbf'
'DHC4', 'DC3', 'DHC4', NULL, NULL, NULL, 'De Havilland DHC-4 Caribou', 'INM 6.1 acft_sub.dbf'
'DHC6', NULL, 'DHC6', NULL, 'PT6A-27', 'PT6A27', 'DASH 6/PT6A-27', 'INM 6.1 aircraft.dbf'
'DHC6QP', NULL, 'DHC6', NULL, 'PT6A-27 Raisbeck Qui', NULL, 'DASH 6/PT6A-27 Raisbeck Quiet Prop Mod', 'INM 6.1 aircraft.dbf'
'DHC7', NULL, 'DHC7', NULL, 'PT6A-50', 'PT6A50', 'DASH 7/PT6A-50', 'INM 6.1 aircraft.dbf'
'DHC8', NULL, 'DH8A', 'DH8A', 'PW121', 'PW121', 'DASH 8-100/PW121', 'INM 6.1 aircraft.dbf'
'DHC830', NULL, 'DH8C', 'DH8C', 'PW123', 'PW123', 'DASH 8-300/PW123', 'INM 6.1 aircraft.dbf'
'DO228', 'DHC6', 'D228', 'D228', NULL, NULL, 'Dornier-228', 'INM 6.1 acft_sub.dbf'
'DO328', 'DHC8', 'D328', 'D328', NULL, NULL, 'Dornier-328', 'INM 6.1 acft_sub.dbf'
'DOMIN', NULL, 'H25A', 'H25B', 'VIPER 521', NULL, 'BRISTOL SIDDELEY VIPER 521', 'INM 6.1 aircraft.dbf'
'E3A', NULL, 'E3CF', 'B703', 'TF33-PW-100A', NULL, 'BOEING SENTRY TF33-PW-100A', 'INM 6.1 aircraft.dbf'
'E4', NULL, 'B742', 'B742', 'CF6-50', '3GE075', 'BOEING 747 CF6-50', 'INM 6.1 aircraft.dbf'
'E8A', NULL, 'B703', 'B703', 'JT3D-3B', '1PW001', 'JT3D-3B', 'INM 6.1 aircraft.dbf'
'EA6B', NULL, 'A6', 'FGTN', 'J52-P-408', 'J52P4', 'J52-P-408', 'INM 6.1 aircraft.dbf'
'EMB110', 'DHC6', 'E110', 'D228', NULL, NULL, 'Embraer Bandeirante 110', 'INM 6.1 acft_sub.dbf'
'EMB120', NULL, 'E120', 'E120', 'PW118', 'PW118', 'Embraer 120 ER/ Pratt & Whitney PW118', 'INM 6.1 aircraft.dbf'
'EMB135', 'CL600', 'E135', 'FA50', NULL, NULL, 'Embraer EMB-135', 'INM 6.1 acft_sub.dbf'
'EMB145', NULL, 'E145', 'E145', 'AE3007', NULL, 'Embraer 145 ER/Allison AE3007', 'INM 6.1 aircraft.dbf'
'EMB14L', NULL, 'E145', 'E145', 'AE3007A1', '6AL005', 'Embraer 145 LR / Allison AE3007A1', 'INM 6.1 aircraft.dbf'
'F10', 'LEAR25', 'LJ35', 'LJ35', 'J34-WE-34', NULL, 'Douglas Skyknight F3D-1/F-10A', 'INM 6.1 acft_sub.dbf'
'F10062', NULL, 'F100', 'F100', 'TAY620-15', NULL, 'F100/TAY 620-15', 'INM 6.1 aircraft.dbf'
'F10065', NULL, 'F100', 'F100', 'TAY650-15', NULL, 'F100/TAY 650-15', 'INM 6.1 aircraft.dbf'
'F100D', NULL, 'SSAB', NULL, 'J57-P-21A', NULL, 'ROCKWELL SUPER SABRE PW J57-P-21A', 'INM 6.1 aircraft.dbf'
'F101B', NULL, '????', NULL, 'J57-P-55', NULL, 'CF-101B Voodoo/PW J57-P-55', 'INM 6.1 aircraft.dbf'
'F102', NULL, '????', NULL, 'J57-P-23', NULL, 'Convair F-102  PW J57-P-23', 'INM 6.1 aircraft.dbf'
'F104G', NULL, 'F104', 'FGTN', 'J79-GE-11A', NULL, 'LOCKHEED STARFIGHTER J79-GE-11A', 'INM 6.1 aircraft.dbf'
'F105D', NULL, '????', NULL, 'J75-P-19W', NULL, 'Republic F-105D Thunderchie PW J75-P-19W', 'INM 6.1 aircraft.dbf'
'F106', NULL, '????', NULL, 'J57-P-17', NULL, 'CONVAIR F-106A PW J57-P-17', 'INM 6.1 aircraft.dbf'
'F111A', NULL, 'F111', NULL, 'TF30-P-100', NULL, 'GENERAL DYNAMICS F111AE PW TF30-P-100 NM', 'INM 6.1 aircraft.dbf'
'F111D', NULL, 'F111', NULL, NULL, NULL, 'GENERAL DYNAMICS F111D', 'INM 6.1 aircraft.dbf'
'F-111F', NULL, 'F111', NULL, NULL, NULL, 'GENERAL DYNAMICS F111F', 'INM 6.1 aircraft.dbf'
'F117A', NULL, 'F117', 'FGTN', 'F404-GE-F1D2', 'F4044F', 'F-117A NightHawk/F404-GE-F1D2', 'INM 6.1 aircraft.dbf'
'F14A', NULL, 'F14', 'FGTN', 'TF30-P-414A', NULL, 'GRUMMAN TOMCAT TF30-P-414A', 'INM 6.1 aircraft.dbf'
'F14B', NULL, 'F14', 'FGTN', 'F110-GE-400', 'F1104', 'GRUMMAN TOMCAT F110-GE-400', 'INM 6.1 aircraft.dbf'
'F15A', NULL, 'F15', 'FGTN', 'PW100', NULL, 'MCDONNELL DOUGLAS EAGLE F100-PW-100', 'INM 6.1 aircraft.dbf'
'F15E20', NULL, 'F15', 'FGTN', 'PW220', NULL, 'MCDONNELL DOUGLAS EAGLE F100-PW-220', 'INM 6.1 aircraft.dbf'
'F15E29', NULL, 'F15', 'FGTN', 'PW229', NULL, 'MCDONNELL DOUGLAS EAGLE F100-PW-229', 'INM 6.1 aircraft.dbf'
'F16A', NULL, 'F16', 'FGTN', 'PW2000', NULL, 'GENERAL DYNAMICS FALCON PW200', 'INM 6.1 aircraft.dbf'
'F16G', NULL, 'F16', 'FGTN', 'F110-GE-100', 'F1101', 'GENERAL DYNAMICS FALCON F110-GE-100', 'INM 6.1 aircraft.dbf'
'F16PW0', NULL, 'F16', 'FGTN', 'F100-PW-220', 'F10022', 'GENERAL DYNAMICS FALCON F100-PW-220', 'INM 6.1 aircraft.dbf'
'F16PW9', NULL, 'F16', 'FGTN', 'F100-PW-229', 'F10229', 'GENERAL DYNAMICS F FALCON F100-PW-229', 'INM 6.1 aircraft.dbf'
'F-18', NULL, 'F18', 'FGTN', 'GE-400', NULL, 'MCDONNELL DOUGLAS HORNET F404-GE-400', 'INM 6.1 aircraft.dbf'
'F18EF', NULL, 'F18', 'FGTN', 'F404-GE-400', 'F4044', 'Boeing F-18E/F / F404-GE-400', 'INM 6.1 aircraft.dbf'
'F28MK2', NULL, 'F28', 'F28', 'RB183MK555', NULL, 'Fokker F28-2000/RB183MK555', 'INM 6.1 aircraft.dbf'
'F28MK4', NULL, 'F28', 'F28', 'RB183MK555', NULL, 'Fokker F28-4000/RB183MK555', 'INM 6.1 aircraft.dbf'
'F4C', NULL, 'F4', 'FGTN', 'J79-GE-15', NULL, 'F-4C PHANTOM II/J79-GE-15', 'INM 6.1 aircraft.dbf'
'F-4C', NULL, 'F4', 'FGTN', 'J79-651', NULL, 'MCDONNELL DOUGLAS PHANTOM J79-6517A17', 'INM 6.1 aircraft.dbf'
'F5AB', NULL, 'F5', 'FGTN', 'J85-GE-13', NULL, 'NORTHROP TIGER J85-GE-13', 'INM 6.1 aircraft.dbf'
'F5', NULL, 'F5', 'FGTN', 'J85-GE-21B', NULL, 'NORTHROP TIGER J85-GE-21B', 'INM 6.1 aircraft.dbf'
'F8', NULL, 'F8', NULL, 'J57-P-20', NULL, 'VOUGHT F-8 CRUSADER PW J57-P-20', 'INM 6.1 aircraft.dbf'
'F90', 'CNA441', 'BE9T', NULL, NULL, NULL, 'Beech Super King Air', 'INM 6.1 acft_sub.dbf'
'FAL10', 'LEAR35', 'FA10', 'FA10', NULL, NULL, 'Falcon 10', 'INM 6.1 acft_sub.dbf'
'FAL20', NULL, 'FA20', 'FA20', 'CF700-2D-2', NULL, 'FALCON 20/CF700-2D-2', 'INM 6.1 aircraft.dbf'
'FAL200', 'LEAR35', 'FA20', 'FA20', NULL, NULL, 'Falcon 200', 'INM 6.1 acft_sub.dbf'
'FAL20A', 'CL600', 'F2TH', 'F900', NULL, NULL, 'Falcon 2000', 'INM 6.1 acft_sub.dbf'
'FB111A', NULL, 'F111', NULL, 'TF30-P-100', NULL, 'GENERAL DYNAMICS FB111 PW TF30-P-100', 'INM 6.1 aircraft.dbf'
'FH227', 'HS748A', 'F27', 'F27', NULL, NULL, 'Fairchild-Hiller F-227 (Fokker 27 Elong)', 'INM 6.1 acft_sub.dbf'
'FH27', 'HS748A', 'F27', 'F27', NULL, NULL, 'Fairchild-Hiller F-27 (Fokker 27)', 'INM 6.1 acft_sub.dbf'
'FK27', 'HS748A', 'F27', 'F27', NULL, NULL, 'Fokker F.27', 'INM 6.1 acft_sub.dbf'
'FK50', 'DHC830', 'F50', 'F50', NULL, NULL, 'Fokker 50', 'INM 6.1 acft_sub.dbf'
'FK70', 'F10062', 'F70', 'F70', NULL, NULL, 'Fokker 70', 'INM 6.1 acft_sub.dbf'
'G164AG', 'GASEPV', 'G164', NULL, NULL, NULL, 'GrummanAmerican Super Agcat', 'INM 6.1 acft_sub.dbf'
'GA7', 'BEC58P', 'GA7', NULL, NULL, NULL, 'Grumman Cougar (GA7)', 'INM 6.1 acft_sub.dbf'
'GASEPF', NULL, 'ZZPP', NULL, NULL, NULL, '1985 1-ENG FP PROP (piston)', 'INM 6.1 aircraft.dbf'
'GASEPV', NULL, 'ZZPP', NULL, NULL, NULL, '1985 1-ENG VP PROP (piston)', 'INM 6.1 aircraft.dbf'
'GC1', 'GASEPF', 'GC1', NULL, NULL, NULL, 'Vought Swift', 'INM 6.1 acft_sub.dbf'
'GII', NULL, 'GLF2', 'CL60', 'SPEY MK511-8', 'MK511', 'Gulfstream GII/SPEY 511-8', 'INM 6.1 aircraft.dbf'
'GIIB', NULL, 'GLF2', 'CL60', 'SPEY MK511-8', 'MK511', 'Gulfstream GIIB/GIII - SPEY 511-8', 'INM 6.1 aircraft.dbf'
'GIV', NULL, 'GLF4', 'CL60', 'TAY Mk611-8', '1RR019', 'Gulfstream GIV-SP/TAY 611-8', 'INM 6.1 aircraft.dbf'
'GROB15', 'GASEPF', 'D228', 'D228', NULL, NULL, 'Burkhart Grob G 115', 'INM 6.1 acft_sub.dbf'
'GSPORT', 'GASEPF', 'D228', 'D228', NULL, NULL, 'Great Lakes Sport', 'INM 6.1 acft_sub.dbf'
'GULF1', 'HS748A', 'G159', NULL, 'Dart 529-8X', NULL, 'Gulfstream I (G159)', 'INM 6.1 acft_sub.dbf'
'GULF2', 'GII', 'GLF2', 'CL60', 'SPEY MK511-8', 'MK511', 'Gulfstream II', 'INM 6.1 acft_sub.dbf'
'GULF3', 'GIIB', 'GLF3', 'CL60', 'SPEY MK511-8', 'MK511', 'Gulfstream III', 'INM 6.1 acft_sub.dbf'
'GULFCO', 'CNA441', 'AC95', 'BE20', NULL, NULL, 'Gulfstream Commander', 'INM 6.1 acft_sub.dbf'
'GV', NULL, 'GLF5', 'CL60', 'BR700-BR710A1-10', NULL, 'Gulfstream GV/BR 710', 'INM 6.1 aircraft.dbf'
'HARRI', NULL, 'HAR', 'FGTN', 'PEGASUS 6', NULL, 'BAE HARRIER AV8 RR PEGASUS 6', 'INM 6.1 aircraft.dbf'
'HAWK', NULL, 'HAWK', 'FGTN', 'ADOUR MK151', NULL, 'BAE SYSTEMS HAWK/RR ADOUR MK151', 'INM 6.1 aircraft.dbf'
'HS125', 'LEAR25', 'H25A', 'H25B', NULL, NULL, 'Hawker-Siddeley 125', 'INM 6.1 acft_sub.dbf'
'HS1258', 'LEAR35', 'H25B', 'H25B', NULL, NULL, 'Bae (Hawker-Siddeley) 125-800', 'INM 6.1 acft_sub.dbf'
'HS748', NULL, 'A748', 'AT72', 'DART MK536-2', NULL, 'RR DART RDA7 MK 536-2', 'INM 6.1 aircraft.dbf'
'HS748A', NULL, 'A748', 'AT72', 'DART MK532-2', NULL, 'HS748/DART MK532-2', 'INM 6.1 aircraft.dbf'
'HUNTER', NULL, 'HAWK', 'FGTN', 'AVON RA28', NULL, 'RR AVON RA28', 'INM 6.1 aircraft.dbf'
'IA1123', 'LEAR25', 'WW23', NULL, NULL, NULL, 'IAI 1123 Westwind', 'INM 6.1 acft_sub.dbf'
'IA1124', 'IA1125', 'WW24', 'H25B', NULL, NULL, 'IAI 1124 Westwind', 'INM 6.1 acft_sub.dbf'
'IA1125', NULL, 'ASTR', 'LJ45', 'TFE731-3A', NULL, 'ASTRA 1125/TFE731-3A', 'INM 6.1 aircraft.dbf'
'IARAVA', 'DHC6', 'ARVA', NULL, NULL, NULL, 'IAI Arava', 'INM 6.1 acft_sub.dbf'
'IL114', 'CVR580', 'I114', NULL, NULL, NULL, 'Ilyushin-114', 'INM 6.1 acft_sub.dbf'
'IL62', '707QN', 'IL62', 'B703', NULL, NULL, 'Ilyushin-62', 'INM 6.1 acft_sub.dbf'
'IL76', 'DC8QN', 'IL76', 'A30B', NULL, NULL, 'Ilyushin-76', 'INM 6.1 acft_sub.dbf'
'IL86', 'DC8QN', 'IL86', 'DC87', NULL, NULL, 'Ilyushin-86', 'INM 6.1 acft_sub.dbf'
'IL96', '747200', 'IL96', 'DC87', NULL, NULL, 'Illyushin-96', 'INM 6.1 acft_sub.dbf'
'JAGUAR', NULL, 'JAGR', 'FGTN', NULL, NULL, 'SEPECAT JAGUAR', 'INM 6.1 aircraft.dbf'
'JPATS', NULL, 'TEX2', NULL, 'PT6A-68', 'PT6A68', 'Raytheon T-6A Texan II / PT6A-68', 'INM 6.1 aircraft.dbf'
'JST1TF', 'LEAR35', 'L29A', 'CL60', NULL, NULL, 'Jetstar 1 Turbofan', 'INM 6.1 acft_sub.dbf'
'JST1TJ', 'LEAR25', 'L29A', 'CL60', NULL, NULL, 'Jetstar 1 Turbojet', 'INM 6.1 acft_sub.dbf'
'JST2TF', 'LEAR35', 'L29B', 'CL60', NULL, NULL, 'Lockheed Jetstar 2', 'INM 6.1 acft_sub.dbf'
'KC10A', NULL, 'DC10', 'DC10', 'CF6-50C1-C2', '1GE007', 'CFG-50C2', 'INM 6.1 aircraft.dbf'
'KC135', NULL, 'K35A', 'B703', 'J57-P-59W', NULL, 'KC135A/J57-P-59W', 'INM 6.1 aircraft.dbf'
'KC-135', NULL, 'K35A', 'B703', 'F108-CF-100', 'F108', 'BOEING STRATOTANKER KC135R F108-CF100', 'INM 6.1 aircraft.dbf'
'KC135B', NULL, 'C135', 'B703', 'JT3D-7 SERIES', '1PW002', 'KC135B/JT3D-7', 'INM 6.1 aircraft.dbf'
'KC135', '707320', 'K35', 'B703', NULL, NULL, 'Boeing KC135 Stratotanker (Re-engined)', 'INM 6.1 acft_sub.dbf'
'KC135R', NULL, 'K35R', 'B703', 'CFM56-2B-1', '1CM002', 'KC135R/CFM56-2B-1', 'INM 6.1 aircraft.dbf'
'KC97L', NULL, 'C97', NULL, 'R-436-59B', NULL, 'BOEING STRATOFREIGHTER PW R-436-59B', 'INM 6.1 aircraft.dbf'
'L1011', NULL, 'L101', 'L101', 'RB211-22B', '1RR003', 'L1011/RB211-22B', 'INM 6.1 aircraft.dbf'
'L10115', NULL, 'L101', 'L101', 'RB211-224B', NULL, 'L1011-500/RB211-224B', 'INM 6.1 aircraft.dbf'
'L188', NULL, 'L188', 'C130', 'ALL 501-D13', NULL, 'L188C/ALL 501-D13', 'INM 6.1 aircraft.dbf'
'LA42', 'GASEPV', 'LA4', NULL, NULL, NULL, 'Lake LA-4-200 Buccaneer', 'INM 6.1 acft_sub.dbf'
'LEAR23', 'LEAR25', 'LJ23', NULL, 'CJ610-4', NULL, 'Learjet 23', 'INM 6.1 acft_sub.dbf'
'LEAR24', 'LEAR25', 'LJ24', 'FA10', 'CJ610-6', 'CJ6106', 'Learjet 24', 'INM 6.1 acft_sub.dbf'
'LEAR25', NULL, 'LJ25', 'LJ35', 'CJ610-8', NULL, 'LEAR 25/CJ610-8', 'INM 6.1 aircraft.dbf'
'LEAR31', 'LEAR35', 'LJ31', 'LJ35', NULL, NULL, 'Learjet 31', 'INM 6.1 acft_sub.dbf'
'LEAR35', NULL, 'LJ35', 'LJ35', 'TFE731-2', NULL, 'LEAR 36/TFE731-2', 'INM 6.1 aircraft.dbf'
'LEAR36', 'LEAR35', 'LJ35', 'LJ35', NULL, NULL, 'Learjet 36', 'INM 6.1 acft_sub.dbf'
'LEAR45', 'LEAR35', 'LJ45', 'LJ45', NULL, NULL, 'Learjet 45', 'INM 6.1 acft_sub.dbf'
'LEAR55', 'LEAR35', 'LJ55', 'LJ35', NULL, NULL, 'Learjet 55', 'INM 6.1 acft_sub.dbf'
'LEAR60', 'LEAR35', 'LJ60', 'LJ45', NULL, NULL, 'Learjet 60', 'INM 6.1 acft_sub.dbf'
'LIGHTN', NULL, 'LTNG', NULL, 'AVON 302C', NULL, 'BAC Lightning /RR AVON 302C', 'INM 6.1 aircraft.dbf'
'LOADMS', 'SD330', 'LOAD', NULL, NULL, NULL, 'Ayres LoadMaster', 'INM 6.1 acft_sub.dbf'
'M20J', 'GASEPV', 'M20P', 'TRIN', NULL, NULL, 'Mooney 201LM and 205 (M20J)', 'INM 6.1 acft_sub.dbf'
'M20K', 'GASEPV', 'M20T', 'TRIN', NULL, NULL, 'Mooney 252TSE (M20K)', 'INM 6.1 acft_sub.dbf'
'M20L', 'GASEPV', 'M20P', 'TRIN', NULL, NULL, 'Mooney Pegasus (M20L)', 'INM 6.1 acft_sub.dbf'
'MB339C', 'A7D', 'M339', NULL, NULL, NULL, 'Aermacchi M.B. 339-C', 'INM 6.1 acft_sub.dbf'
'MD11G', NULL, 'MD11', 'MD11', 'CF6-80C2D1F', '1GE031', 'MD-11/CF6-80C2D1F', 'INM 6.1 aircraft.dbf'
'MD11PW', NULL, 'MD11', 'MD11', 'PW4460', '1PW052', 'MD-11/PW 4460', 'INM 6.1 aircraft.dbf'
'MD80', 'MD81', 'MD80', NULL, NULL, NULL, 'McDonnell-Douglas  MD80', 'INM 6.1 acft_sub.dbf'
'MD81', NULL, 'MD81', 'MD83', 'JT8D-209', '1PW017', 'MD-81/JT8D-209', 'INM 6.1 aircraft.dbf'
'MD82', NULL, 'MD82', 'MD83', 'JT8D-217A', '4PW069', 'MD-82/JT8D-217A', 'INM 6.1 aircraft.dbf'
'MD83', NULL, 'MD83', 'MD83', 'JT8D-219', '1PW019', 'MD-83/JT8D-219', 'INM 6.1 aircraft.dbf'
'MD87', 'MD81', 'MD87', 'MD83', NULL, NULL, 'McDonnell-Douglas  MD87', 'INM 6.1 acft_sub.dbf'
'MD88', 'MD83', 'MD88', 'MD83', NULL, NULL, 'McDonnell-Douglas  MD88', 'INM 6.1 acft_sub.dbf'
'MD8819', 'MD81', 'MD88', 'MD83', 'JT8D-119', NULL, 'MD88 w/JT8D-119', 'INM 6.1 acft_sub.dbf'
'MD9025', NULL, 'MD90', 'MD83', 'V2525-D5', '1IA002', 'MD-90/V2525-D5', 'INM 6.1 aircraft.dbf'
'MD9028', NULL, 'MD90', 'MD83', 'V2528-D5', '1IA004', 'MD-90/V2528-D5', 'INM 6.1 aircraft.dbf'
'MU2', 'DHC6', 'MU2', 'MU2', NULL, NULL, 'Mitsubishi MU-2', 'INM 6.1 acft_sub.dbf'
'MU300', 'CNA500', 'MU30', 'C550', NULL, NULL, 'Mitsubishi Diamond MU-300', 'INM 6.1 acft_sub.dbf'
'MU3001', NULL, 'MU30', 'C550', 'JT15D-4', NULL, 'MU300-10/JT15D-4', 'INM 6.1 aircraft.dbf'
'N24', 'CNA441', 'NOMA', NULL, NULL, NULL, 'Gov. Aircraft Factories N24', 'INM 6.1 acft_sub.dbf'
'NIMROD', NULL, 'NIM', 'B703', 'SPEY MK511', '8RR043', 'RR SPEY MK511', 'INM 6.1 aircraft.dbf'
'NRD262', 'SD330', 'N262', 'JS41', NULL, NULL, 'Nord-Aviation NORD-262', 'INM 6.1 acft_sub.dbf'
'OV1', 'DHC6', 'V1', NULL, NULL, NULL, 'Grumman Mohawk OV-1', 'INM 6.1 acft_sub.dbf'
