'707', NULL, 'B701', 'B703', 'JT3C', NULL, 'B707-120/JT3C', 'INM 6.1 aircraft.dbf'
'747400', NULL, 'B744', 'B744', 'PW4056', '1PW041', 'B747-400/PW4056', 'INM 6.1 aircraft.dbf'
'747R21', '74720B', 'B744', 'B744', 'CF6 or RB211 engines', NULL, '747 w/CF6 or RB211 engines', 'INM 6.1 acft_sub.dbf'
'747SP', NULL, 'B74S', 'B744', 'JT9D-7', '8PW086', 'B747SP/JT9D-7', 'INM 6.1 aircraft.dbf'
'757300', NULL, 'B753', 'B753', 'RB211-535E4B', '3RR034', '757-300 / RB211-535E4B', 'INM 6.1 aircraft.dbf'
'757PW', NULL, 'B752', 'B752', 'PW2037', '4PW072', 'B757-200/PW2037', 'INM 6.1 aircraft.dbf'
'757RR', NULL, 'B752', 'B752', 'RB211-535E4', '3RR028', 'B757-200/RB211-535E4', 'INM 6.1 aircraft.dbf'
'767300', NULL, 'B762', 'B762', 'PW4060', '1PW043', 'B767-300/PW4060', 'INM 6.1 aircraft.dbf'
'767400', NULL, 'B764', 'B764', 'CF6-80C2BF', NULL, '767-400ER with CF6-80C2B(F) Engines', 'INM 6.1 aircraft.dbf'
'767CF6', NULL, 'B762', 'B762', 'CF6-80A', '1GE010', 'B767-200/CF6-80A', 'INM 6.1 aircraft.dbf'
'767JT9', NULL, 'B762', 'B762', 'JT9D-7R4D', NULL, 'B767-200/JT9D-7R4D', 'INM 6.1 aircraft.dbf'
'777200', NULL, 'B772', 'B772', 'GE90-76B', '2GE052', 'Boeing 777-200 GE90-76B', 'INM 6.1 aircraft.dbf'
'777300', NULL, 'B773', 'B773', 'Trent 892', '2RR027', '777-300 with Trent 892 Engines', 'INM 6.1 aircraft.dbf'
'A10A', NULL, 'A10', 'FGTN', 'TF34-GE-100-100A', 'TF3410', 'FAIRCHILD THUNDERBOLT II TF34-GE-100', 'INM 6.1 aircraft.dbf'
'A3', NULL, 'A3', NULL, 'J79-GE-8', NULL, 'MCDONNELL DOUGLAS SKYWARRIOR J79-GE-8 NM', 'INM 6.1 aircraft.dbf'
'A300', NULL, 'A30B', 'A30B', 'CF6-50C1-C2', '1GE007', 'A300B4-200/CF6-50C2', 'INM 6.1 aircraft.dbf'
'A30062', NULL, 'A306', 'A306', 'PW4158', '1PW048', 'Airbus A300-622R / PW4158', 'INM 6.1 aircraft.dbf'
'A310', NULL, 'A310', 'A310', 'CF6-80C2A2', '1GE016', 'Airbus A310-304 / CF6-80C2A2', 'INM 6.1 aircraft.dbf'
'A319', NULL, 'A319', 'A319', 'V2522-A5', '3IA006', 'Airbus A319-131 / V2522-A5 Engines', 'INM 6.1 aircraft.dbf'
'A320', NULL, 'A320', 'A320', 'CFM56-5A1', NULL, 'Airbus A320-211 CFM56-5A1', 'INM 6.1 aircraft.dbf'
'A32023', NULL, 'A320', 'A320', 'V2527-A5', '1IA003', 'Airbus A320-232 / V2527-A5 Engines', 'INM 6.1 aircraft.dbf'
'A321', 'A320', 'A321', 'A321', NULL, NULL, 'Airbus A-321', 'INM 6.1 acft_sub.dbf'
'A32123', NULL, 'A321', 'A321', 'V2530-A5', '1IA005', 'Airbus A321-232 / IAE V2530-A5', 'INM 6.1 aircraft.dbf'
'A330', NULL, 'A333', 'A333', 'CF6-80E1A2', '1GE033', 'Airbus A330-301 / CF6-80 E1A2', 'INM 6.1 aircraft.dbf'
