stage,count,source_modules,dispersion modules,timestamp
process(),201,PointSource,,0.003995
process(),202,PointSource,,0.005003
process(),203,PointSource,,0.004
process(),204,PointSource,,0.003998
process(),205,PointSource,,0.003981
process(),206,PointSource,,0.00402
process(),207,PointSource,,0.004
process(),208,PointSource,,0.004999
process(),209,PointSource,,0.004003
process(),210,PointSource,,0.004998
process(),211,PointSource,,0.004
process(),212,PointSource,,0.003998
process(),213,PointSource,,0.004002
process(),214,PointSource,,0.004999
process(),215,PointSource,,0.003946
process(),216,PointSource,,0.004053
process(),217,PointSource,,0.004948
process(),218,PointSource,,0.005053
process(),219,PointSource,,0.005001
process(),220,PointSource,,0.004987
process(),221,PointSource,,0.004011
process(),222,PointSource,,0.005001
process(),223,PointSource,,0.004
process(),224,PointSource,,0.005
process(),225,PointSource,,0.004
process(),226,PointSource,,0.004999
process(),227,PointSource,,0.004984
process(),228,PointSource,,0.005018
process(),229,PointSource,,0.003999
process(),230,PointSource,,0.004002
process(),231,PointSource,,0.003984
process(),232,PointSource,,0.004019
process(),233,PointSource,,0.004995
process(),234,PointSource,,0.004003
process(),235,PointSource,,0.005003
process(),236,PointSource,,0.004941
process(),237,PointSource,,0.004053
process(),238,PointSource,,0.00498
process(),239,PointSource,,0.004024
process(),240,PointSource,,0.004999
process(),241,PointSource,,0.004004
process(),242,PointSource,,0.004941
process(),243,PointSource,,0.005
process(),244,PointSource,,0.004052
process(),245,PointSource,,0.004
process(),246,PointSource,,0.005001
process(),247,PointSource,,0.003999
process(),248,PointSource,,0.004
process(),249,PointSource,,0.004001
process(),250,PointSource,,0.004999
process(),251,PointSource,,0.004
process(),252,PointSource,,0.004003
process(),253,PointSource,,0.004997
process(),254,PointSource,,0.004001
process(),255,PointSource,,0.003999
process(),256,PointSource,,0.004
process(),257,PointSource,,0.004006
process(),258,PointSource,,0.00494
process(),259,PointSource,,0.004054
process(),260,PointSource,,0.004
process(),261,PointSource,,0.003999
process(),262,PointSource,,0.004004
process(),263,PointSource,,0.004003
process(),264,PointSource,,0.003997
process(),265,PointSource,,0.005
process(),266,PointSource,,0.004
process(),267,PointSource,,0.005
process(),268,PointSource,,0.004006
process(),269,PointSource,,0.003994
process(),270,PointSource,,0.005
process(),271,PointSource,,0.004008
process(),272,PointSource,,0.003995
process(),273,PointSource,,0.00498
process(),274,PointSource,,0.00502
process(),275,PointSource,,0.003997
process(),276,PointSource,,0.004
process(),277,PointSource,,0.005001
process(),278,PointSource,,0.003999
process(),279,PointSource,,0.004
process(),280,PointSource,,0.004
process(),281,PointSource,,0.005
process(),282,PointSource,,0.004
process(),283,PointSource,,0.004
process(),284,PointSource,,0.004984
process(),285,PointSource,,0.004016
process(),286,PointSource,,0.004
process(),287,PointSource,,0.004
process(),288,PointSource,,0.004
process(),289,PointSource,,0.004
process(),290,PointSource,,0.003998
process(),291,PointSource,,0.003999
process(),292,PointSource,,0.005005
process(),293,PointSource,,0.005
process(),294,PointSource,,0.004001
process(),295,PointSource,,0.003944
process(),296,PointSource,,0.004055
process(),297,PointSource,,0.004
process(),298,PointSource,,0.005
process(),299,PointSource,,0.003999
process(),300,PointSource,,0.003988
process(),301,PointSource,,0.004009
process(),302,PointSource,,0.004
process(),303,PointSource,,0.004
process(),304,PointSource,,0.004
process(),305,PointSource,,0.005
process(),306,PointSource,,0.004
process(),307,PointSource,,0.004002
process(),308,PointSource,,0.004
process(),309,PointSource,,0.003998
process(),310,PointSource,,0.004
process(),311,PointSource,,0.004002
process(),312,PointSource,,0.004
process(),313,PointSource,,0.003997
process(),314,PointSource,,0.004001
process(),315,PointSource,,0.004002
process(),316,PointSource,,0.004
process(),317,PointSource,,0.004001
process(),318,PointSource,,0.003997
process(),319,PointSource,,0.005003
process(),320,PointSource,,0.003997
process(),321,PointSource,,0.004
process(),322,PointSource,,0.004
process(),323,PointSource,,0.003948
process(),324,PointSource,,0.004052
process(),325,PointSource,,0.004
process(),326,PointSource,,0.004004
process(),327,PointSource,,0.004996
process(),328,PointSource,,0.004
process(),329,PointSource,,0.004
process(),330,PointSource,,0.004002
process(),331,PointSource,,0.003998
process(),332,PointSource,,0.004
process(),333,PointSource,,0.004001
process(),334,PointSource,,0.003945
process(),335,PointSource,,0.005054
process(),336,PointSource,,0.004005
process(),337,PointSource,,0.003995
process(),338,PointSource,,0.004
process(),339,PointSource,,0.004
process(),340,PointSource,,0.003999
process(),341,PointSource,,0.004
process(),342,PointSource,,0.005003
process(),343,PointSource,,0.004
process(),344,PointSource,,0.003998
process(),345,PointSource,,0.004
process(),346,PointSource,,0.00398
process(),347,PointSource,,0.005001
process(),348,PointSource,,0.004019
process(),349,PointSource,,0.004956
process(),350,PointSource,,0.004044
process(),351,PointSource,,0.005004
process(),352,PointSource,,0.003997
process(),353,PointSource,,0.003999
process(),354,PointSource,,0.005001
process(),355,PointSource,,0.004
process(),356,PointSource,,0.003999
process(),357,PointSource,,0.004002
process(),358,PointSource,,0.003945
process(),359,PointSource,,0.003999
process(),360,PointSource,,0.003947
process(),361,PointSource,,0.006059
process(),362,PointSource,,0.003998
process(),363,PointSource,,0.003996
process(),364,PointSource,,0.005002
process(),365,PointSource,,0.003999
process(),366,PointSource,,0.003999
process(),367,PointSource,,0.004002
process(),368,PointSource,,0.004
process(),369,PointSource,,0.004004
process(),370,PointSource,,0.004998
process(),371,PointSource,,0.003981
process(),372,PointSource,,0.003999
process(),373,PointSource,,0.005016
process(),374,PointSource,,0.004002
process(),375,PointSource,,0.003999
process(),376,PointSource,,0.003999
process(),377,PointSource,,0.004001
process(),378,PointSource,,0.004999
process(),379,PointSource,,0.004004
process(),380,PointSource,,0.003996
process(),381,PointSource,,0.004004
process(),382,PointSource,,0.004996
process(),383,PointSource,,0.004002
process(),384,PointSource,,0.003999
process(),385,PointSource,,0.003999
process(),386,PointSource,,0.003948
process(),387,PointSource,,0.004054
process(),388,PointSource,,0.004999
process(),389,PointSource,,0.004
process(),390,PointSource,,0.004003
process(),391,PointSource,,0.003996
process(),392,PointSource,,0.004
process(),393,PointSource,,0.004
process(),394,PointSource,,0.004004
process(),395,PointSource,,0.003996
process(),396,PointSource,,0.004
process(),397,PointSource,,0.004
process(),398,PointSource,,0.004003
process(),399,PointSource,,0.003997
process(),400,PointSource,,0.005001
process(),401,PointSource,,0.003999
process(),402,PointSource,,0.004001
process(),403,PointSource,,0.003999
process(),404,PointSource,,0.004001
process(),405,PointSource,,0.003945
process(),406,PointSource,,0.004055
process(),407,PointSource,,0.003999
process(),408,PointSource,,0.004001
process(),409,PointSource,,0.004999
process(),410,PointSource,,0.004
process(),411,PointSource,,0.004
process(),412,PointSource,,0.004003
process(),413,PointSource,,0.004997
process(),414,PointSource,,0.004001
process(),415,PointSource,,0.004
process(),416,PointSource,,0.003999
process(),417,PointSource,,0.004
process(),418,PointSource,,0.004001
process(),419,PointSource,,0.003999
process(),420,PointSource,,0.003999
process(),421,PointSource,,0.004985
process(),422,PointSource,,0.004015
process(),423,PointSource,,0.005002
process(),424,PointSource,,0.003946
process(),425,PointSource,,0.004053
process(),426,PointSource,,0.004
process(),427,PointSource,,0.004001
process(),428,PointSource,,0.003945
process(),429,PointSource,,0.005054
process(),430,PointSource,,0.004
process(),431,PointSource,,0.004003
process(),432,PointSource,,0.003996
process(),433,PointSource,,0.004
process(),434,PointSource,,0.004001
process(),435,PointSource,,0.004003
process(),436,PointSource,,0.004997
process(),437,PointSource,,0.004006
process(),438,PointSource,,0.003994
process(),439,PointSource,,0.004001
process(),440,PointSource,,0.003999
process(),441,PointSource,,0.004001
process(),442,PointSource,,0.003999
process(),443,PointSource,,0.005
process(),444,PointSource,,0.004003
process(),445,PointSource,,0.003997
process(),446,PointSource,,0.004
process(),447,PointSource,,0.005
process(),448,PointSource,,0.004
process(),449,PointSource,,0.004
process(),450,PointSource,,0.004001
process(),451,PointSource,,0.003999
process(),452,PointSource,,0.003981
process(),453,PointSource,,0.005019
process(),454,PointSource,,0.004003
process(),455,PointSource,,0.003997
process(),456,PointSource,,0.004
process(),457,PointSource,,0.003999
process(),458,PointSource,,0.004947
process(),459,PointSource,,0.004054
process(),460,PointSource,,0.004005
process(),461,PointSource,,0.003995
process(),462,PointSource,,0.004001
process(),463,PointSource,,0.003999
process(),464,PointSource,,0.004
process(),465,PointSource,,0.005001
process(),466,PointSource,,0.004006
process(),467,PointSource,,0.003996
process(),468,PointSource,,0.003997
process(),469,PointSource,,0.004
process(),470,PointSource,,0.003949
process(),471,PointSource,,0.005051
process(),472,PointSource,,0.004
process(),473,PointSource,,0.004
process(),474,PointSource,,0.004
process(),475,PointSource,,0.005
process(),476,PointSource,,0.004
process(),477,PointSource,,0.004003
process(),478,PointSource,,0.003997
process(),479,PointSource,,0.004
process(),480,PointSource,,0.003999
process(),481,PointSource,,0.004957
process(),482,PointSource,,0.004048
process(),483,PointSource,,0.004001
process(),484,PointSource,,0.003994
process(),485,PointSource,,0.005002
process(),486,PointSource,,0.003947
process(),487,PointSource,,0.004052
process(),488,PointSource,,0.004
process(),489,PointSource,,0.005001
