stage,count,source_modules,dispersion modules,timestamp
process(),200,PointSource,,0.005054
process(),201,PointSource,,0.004065
process(),202,PointSource,,0.00701
process(),203,PointSource,,0.005054
process(),204,PointSource,,0.003763
process(),205,PointSource,,0.005048
process(),206,PointSource,,0.0058
process(),207,PointSource,,0.0042
process(),208,PointSource,,0.004999
process(),209,PointSource,,0.006004
process(),210,PointSource,,0.004064
process(),211,PointSource,,0.004947
process(),212,PointSource,,0.005069
process(),213,PointSource,,0.004052
process(),214,PointSource,,0.004975
process(),215,PointSource,,0.005728
process(),216,PointSource,,0.005053
process(),217,PointSource,,0.004046
process(),218,PointSource,,0.004947
process(),219,PointSource,,0.004999
process(),220,PointSource,,0.005052
process(),221,PointSource,,0.004009
process(),222,PointSource,,0.005044
process(),223,PointSource,,0.003873
process(),224,PointSource,,0.00501
process(),225,PointSource,,0.004946
process(),226,PointSource,,0.005001
process(),227,PointSource,,0.004063
process(),228,PointSource,,0.005052
process(),229,PointSource,,0.005012
process(),230,PointSource,,0.005056
process(),231,PointSource,,0.004781
process(),232,PointSource,,0.005001
process(),233,PointSource,,0.004944
process(),234,PointSource,,0.005058
process(),235,PointSource,,0.00394
process(),236,PointSource,,0.005119
process(),237,PointSource,,0.004998
process(),238,PointSource,,0.004
process(),239,PointSource,,0.004947
process(),240,PointSource,,0.005117
process(),241,PointSource,,0.004
process(),242,PointSource,,0.004013
process(),243,PointSource,,0.005001
process(),244,PointSource,,0.005064
process(),245,PointSource,,0.004002
process(),246,PointSource,,0.005066
process(),247,PointSource,,0.003996
process(),248,PointSource,,0.004
process(),249,PointSource,,0.004991
process(),250,PointSource,,0.00398
process(),251,PointSource,,0.005066
process(),252,PointSource,,0.004
process(),253,PointSource,,0.005064
process(),254,PointSource,,0.004999
process(),255,PointSource,,0.003884
process(),256,PointSource,,0.005052
process(),257,PointSource,,0.004012
process(),258,PointSource,,0.004979
process(),259,PointSource,,0.003998
process(),260,PointSource,,0.004064
process(),261,PointSource,,0.004968
process(),262,PointSource,,0.004707
process(),263,PointSource,,0.004998
process(),264,PointSource,,0.004063
process(),265,PointSource,,0.004081
process(),266,PointSource,,0.00527
process(),267,PointSource,,0.00397
process(),268,PointSource,,0.005012
process(),269,PointSource,,0.004051
process(),270,PointSource,,0.004999
process(),271,PointSource,,0.004062
process(),272,PointSource,,0.004946
process(),273,PointSource,,0.004119
process(),274,PointSource,,0.004981
process(),275,PointSource,,0.004426
process(),276,PointSource,,0.004972
process(),277,PointSource,,0.003995
process(),278,PointSource,,0.005053
process(),279,PointSource,,0.003999
process(),280,PointSource,,0.00608
process(),281,PointSource,,0.003849
process(),282,PointSource,,0.005051
process(),283,PointSource,,0.003947
process(),284,PointSource,,0.005681
process(),285,PointSource,,0.004999
process(),286,PointSource,,0.00403
process(),287,PointSource,,0.003999
process(),288,PointSource,,0.005068
process(),289,PointSource,,0.003997
process(),290,PointSource,,0.005024
process(),291,PointSource,,0.005036
process(),292,PointSource,,0.004016
process(),293,PointSource,,0.005036
process(),294,PointSource,,0.004003
process(),295,PointSource,,0.005058
process(),296,PointSource,,0.003998
process(),297,PointSource,,0.003885
process(),298,PointSource,,0.006055
process(),299,PointSource,,0.00399
process(),300,PointSource,,0.005001
process(),301,PointSource,,0.005012
process(),302,PointSource,,0.004049
process(),303,PointSource,,0.004885
process(),304,PointSource,,0.004052
process(),305,PointSource,,0.005552
process(),306,PointSource,,0.005054
process(),307,PointSource,,0.004499
process(),308,PointSource,,0.004052
process(),309,PointSource,,0.005009
process(),310,PointSource,,0.004992
process(),311,PointSource,,0.004999
process(),312,PointSource,,0.003915
process(),313,PointSource,,0.005018
process(),314,PointSource,,0.004945
process(),315,PointSource,,0.005002
process(),316,PointSource,,0.004756
process(),317,PointSource,,0.004947
process(),318,PointSource,,0.00659
process(),319,PointSource,,0.00507
process(),320,PointSource,,0.004965
process(),321,PointSource,,0.005763
process(),322,PointSource,,0.005018
process(),323,PointSource,,0.003991
process(),324,PointSource,,0.003978
process(),325,PointSource,,0.003957
process(),326,PointSource,,0.005022
process(),327,PointSource,,0.005055
