stage,source_module,timestamp,dispersion_module,count,source_modules,dispersion modules
process(),,0.021,,114.0,PointSource,AUSTAL2000
process(),,0.021,,115.0,PointSource,AUSTAL2000
process(),,0.021,,116.0,PointSource,AUSTAL2000
process(),,0.02,,117.0,PointSource,AUSTAL2000
process(),,0.021001,,118.0,PointSource,AUSTAL2000
process(),,0.019999,,119.0,PointSource,AUSTAL2000
process(),,0.021,,120.0,PointSource,AUSTAL2000
process(),,0.021001,,121.0,PointSource,AUSTAL2000
process(),,0.023,,122.0,PointSource,AUSTAL2000
process(),,0.019999,,123.0,PointSource,AUSTAL2000
process(),,0.023,,124.0,PointSource,AUSTAL2000
process(),,0.021001,,125.0,PointSource,AUSTAL2000
process(),,0.020999,,126.0,PointSource,AUSTAL2000
process(),,0.021001,,127.0,PointSource,AUSTAL2000
process(),,0.020999,,128.0,PointSource,AUSTAL2000
process(),,0.021001,,129.0,PointSource,AUSTAL2000
process(),,0.019999,,130.0,PointSource,AUSTAL2000
process(),,0.021,,131.0,PointSource,AUSTAL2000
process(),,0.021,,132.0,PointSource,AUSTAL2000
process(),,0.021,,133.0,PointSource,AUSTAL2000
process(),,0.021002,,134.0,PointSource,AUSTAL2000
process(),,0.019998,,135.0,PointSource,AUSTAL2000
process(),,0.021001,,136.0,PointSource,AUSTAL2000
process(),,0.019999,,137.0,PointSource,AUSTAL2000
process(),,0.022001,,138.0,PointSource,AUSTAL2000
process(),,0.019999,,139.0,PointSource,AUSTAL2000
process(),,0.022014,,140.0,PointSource,AUSTAL2000
process(),,0.020986,,141.0,PointSource,AUSTAL2000
process(),,0.021,,142.0,PointSource,AUSTAL2000
process(),,0.020054,,143.0,PointSource,AUSTAL2000
process(),,0.021001,,144.0,PointSource,AUSTAL2000
process(),,0.019999,,145.0,PointSource,AUSTAL2000
process(),,0.021005,,146.0,PointSource,AUSTAL2000
process(),,0.020998,,147.0,PointSource,AUSTAL2000
process(),,0.019999,,148.0,PointSource,AUSTAL2000
process(),,0.021008,,149.0,PointSource,AUSTAL2000
process(),,0.019995,,150.0,PointSource,AUSTAL2000
process(),,0.021002,,151.0,PointSource,AUSTAL2000
process(),,0.020988,,152.0,PointSource,AUSTAL2000
process(),,0.020009,,153.0,PointSource,AUSTAL2000
process(),,0.021005,,154.0,PointSource,AUSTAL2000
process(),,0.019993,,155.0,PointSource,AUSTAL2000
process(),,0.02,,156.0,PointSource,AUSTAL2000
process(),,0.021812,,157.0,PointSource,AUSTAL2000
process(),,0.020999,,158.0,PointSource,AUSTAL2000
process(),,0.019999,,159.0,PointSource,AUSTAL2000
process(),,0.022001,,160.0,PointSource,AUSTAL2000
process(),,0.020999,,161.0,PointSource,AUSTAL2000
process(),,0.02,,162.0,PointSource,AUSTAL2000
process(),,0.021001,,163.0,PointSource,AUSTAL2000
process(),,0.019999,,164.0,PointSource,AUSTAL2000
process(),,0.021001,,165.0,PointSource,AUSTAL2000
process(),,0.019999,,166.0,PointSource,AUSTAL2000
process(),,0.02,,167.0,PointSource,AUSTAL2000
process(),,0.021,,168.0,PointSource,AUSTAL2000
process(),,0.02,,169.0,PointSource,AUSTAL2000
process(),,0.021001,,170.0,PointSource,AUSTAL2000
process(),,0.021,,171.0,PointSource,AUSTAL2000
process(),,0.019999,,172.0,PointSource,AUSTAL2000
process(),,0.021,,173.0,PointSource,AUSTAL2000
process(),,0.02,,174.0,PointSource,AUSTAL2000
process(),,0.022001,,175.0,PointSource,AUSTAL2000
process(),,0.019999,,176.0,PointSource,AUSTAL2000
process(),,0.021016,,177.0,PointSource,AUSTAL2000
process(),,0.019984,,178.0,PointSource,AUSTAL2000
process(),,0.021278,,179.0,PointSource,AUSTAL2000
process(),,0.019722,,180.0,PointSource,AUSTAL2000
process(),,0.021,,181.0,PointSource,AUSTAL2000
process(),,0.02,,182.0,PointSource,AUSTAL2000
process(),,0.021,,183.0,PointSource,AUSTAL2000
process(),,0.021,,184.0,PointSource,AUSTAL2000
process(),,0.021,,185.0,PointSource,AUSTAL2000
process(),,0.022024,,186.0,PointSource,AUSTAL2000
process(),,0.02,,187.0,PointSource,AUSTAL2000
process(),,0.019999,,188.0,PointSource,AUSTAL2000
process(),,0.021001,,189.0,PointSource,AUSTAL2000
process(),,0.019999,,190.0,PointSource,AUSTAL2000
process(),,0.021001,,191.0,PointSource,AUSTAL2000
process(),,0.021,,192.0,PointSource,AUSTAL2000
process(),,0.023,,193.0,PointSource,AUSTAL2000
process(),,0.021001,,194.0,PointSource,AUSTAL2000
process(),,0.019999,,195.0,PointSource,AUSTAL2000
process(),,0.019999,,196.0,PointSource,AUSTAL2000
process(),,0.021001,,197.0,PointSource,AUSTAL2000
process(),,0.019999,,198.0,PointSource,AUSTAL2000
process(),,0.021002,,199.0,PointSource,AUSTAL2000
process(),,0.019998,,200.0,PointSource,AUSTAL2000
process(),,0.021,,201.0,PointSource,AUSTAL2000
process(),,0.021002,,202.0,PointSource,AUSTAL2000
process(),,0.019998,,203.0,PointSource,AUSTAL2000
process(),,0.02,,204.0,PointSource,AUSTAL2000
process(),,0.021001,,205.0,PointSource,AUSTAL2000
process(),,0.019999,,206.0,PointSource,AUSTAL2000
process(),,0.021002,,207.0,PointSource,AUSTAL2000
process(),,0.019999,,208.0,PointSource,AUSTAL2000
process(),,0.021001,,209.0,PointSource,AUSTAL2000
process(),,0.019998,,210.0,PointSource,AUSTAL2000
process(),,0.025,,211.0,PointSource,AUSTAL2000
process(),,0.021001,,212.0,PointSource,AUSTAL2000
process(),,0.02,,213.0,PointSource,AUSTAL2000
process(),,0.021001,,214.0,PointSource,AUSTAL2000
process(),,0.019999,,215.0,PointSource,AUSTAL2000
process(),,0.022001,,216.0,PointSource,AUSTAL2000
process(),,0.019999,,217.0,PointSource,AUSTAL2000
process(),,0.021,,218.0,PointSource,AUSTAL2000
process(),,0.022001,,219.0,PointSource,AUSTAL2000
process(),,0.019999,,220.0,PointSource,AUSTAL2000
process(),,0.021,,221.0,PointSource,AUSTAL2000
process(),,0.019999,,222.0,PointSource,AUSTAL2000
process(),,0.021002,,223.0,PointSource,AUSTAL2000
process(),,0.020021,,224.0,PointSource,AUSTAL2000
process(),,0.019977,,225.0,PointSource,AUSTAL2000
process(),,0.02,,226.0,PointSource,AUSTAL2000
process(),,0.021001,,227.0,PointSource,AUSTAL2000
process(),,0.019999,,228.0,PointSource,AUSTAL2000
process(),,0.02,,229.0,PointSource,AUSTAL2000
process(),,0.021001,,230.0,PointSource,AUSTAL2000
process(),,0.019999,,231.0,PointSource,AUSTAL2000
process(),,0.021003,,232.0,PointSource,AUSTAL2000
process(),,0.020999,,233.0,PointSource,AUSTAL2000
process(),,0.019998,,234.0,PointSource,AUSTAL2000
process(),,0.021001,,235.0,PointSource,AUSTAL2000
process(),,0.021002,,236.0,PointSource,AUSTAL2000
process(),,0.029025,,237.0,PointSource,AUSTAL2000
process(),,0.019999,,238.0,PointSource,AUSTAL2000
process(),,0.02,,239.0,PointSource,AUSTAL2000
process(),,0.021,,240.0,PointSource,AUSTAL2000
process(),,0.021,,241.0,PointSource,AUSTAL2000
