42,AU,PC,LPG,All,Uncontrolled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,AU,PC,LPG,All,EURO I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,AU,PC,LPG,All,EURO II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,AU,PC,LPG,All,EURO III,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,AU,PC,LPG,All,EURO IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,AU,PC,2-Stroke,All,Uncontrolled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,AU,LDV,Gasoline,All,Uncontrolled,22312,22864,8247,155,0,0,0,25000,25000,32,40,28,20,60,90
49,AU,LDV,Gasoline,All,EURO I,0,3396,9990,3735,1,0,0,25000,25000,32,40,28,20,60,90
50,AU,LDV,Gasoline,All,EURO II,0,0,11120,12931,2102,0,0,25000,25000,32,40,28,20,60,90
51,AU,LDV,Gasoline,All,EURO III,0,0,0,15589,33151,37826,40171,25000,25000,32,40,28,20,60,90
52,AU,LDV,Gasoline,All,EURO IV,0,0,0,0,0,0,0,25000,25000,32,40,28,20,60,90
53,AU,LDV,Diesel,All,Uncontrolled,54307,55652,20074,376,0,0,0,25000,25000,32,40,28,20,60,90
54,AU,LDV,Diesel,All,EURO I,0,8265,33133,15530,54,0,0,25000,25000,32,40,28,20,60,90
55,AU,LDV,Diesel,All,EURO II,0,0,18250,25036,5065,0,0,25000,25000,32,40,28,20,60,90
56,AU,LDV,Diesel,All,EURO III,0,0,0,37944,80691,92069,97777,25000,25000,32,40,28,20,60,90
57,AU,LDV,Diesel,All,EURO IV,0,0,0,0,0,0,0,25000,25000,32,40,28,20,60,90
58,AU,HDV,Diesel,3.5 - 7.5 t,Conventional,12074,9166,1925,0,0,0,0,38000,38000,15,40,45,20,60,90
59,AU,HDV,Diesel,3.5 - 7.5 t,EURO I,0,5044,6002,1013,0,0,0,38000,38000,15,40,45,20,60,90
60,AU,HDV,Diesel,3.5 - 7.5 t,EURO II,0,0,7960,6111,426,0,0,38000,38000,15,40,45,20,60,90
61,AU,HDV,Diesel,3.5 - 7.5 t,EURO III,0,0,0,10414,18651,20469,21737,38000,38000,15,40,45,20,60,90
62,AU,HDV,Diesel,3.5 - 7.5 t,EURO IV,0,0,0,0,0,0,0,38000,38000,15,40,45,20,60,90
63,AU,HDV,Diesel,7.5 - 16 t,Conventional,14294,10851,2279,0,0,0,0,38000,38000,15,40,45,20,60,90
64,AU,HDV,Diesel,7.5 - 16 t,EURO I,0,5972,7105,1199,0,0,0,38000,38000,15,40,45,20,60,90
65,AU,HDV,Diesel,7.5 - 16 t,EURO II,0,0,9424,7235,505,0,0,38000,38000,15,40,45,20,60,90
66,AU,HDV,Diesel,7.5 - 16 t,EURO III,0,0,0,12329,22081,24233,25735,38000,38000,15,40,45,20,60,90
