oid;profile_id;arrival_departure;stage;point;weight_lbs;horizontal_feet;vertical_feet;tas_knots;weight_kgs;horizontal_metres;vertical_metres;tas_metres;power;mode;course
6534;A310-304-D-1;D;1;9;243300;46980.5;7500;278.3;110358.9336;14319.6564;2286;143.1697652;0.739621869;CL;ANP2.2
6535;A310-304-D-1;D;1;10;243300;60922.5;10000;289.3;110358.9336;18569.178;3048;148.8286492;0.780750467;CL;ANP2.2
6536;A310-304-D-2;D;2;1;253000;0;0;0;114758.776;0;0;0;0.946236449;TO;ANP2.2
6537;A310-304-D-2;D;2;2;253000;3640.3;0;157;114758.776;1109.56344;0;80.767708;0.795365607;TO;ANP2.2
6538;A310-304-D-2;D;2;3;253000;7280.8;1000;159.3;114758.776;2219.18784;304.8;81.9509292;0.818716822;TO;ANP2.2
6539;A310-304-D-2;D;2;4;253000;9432.7;1183.3;185.2;114758.776;2875.08696;360.66984;95.2750288;0.798840748;CL;ANP2.2
6540;A310-304-D-2;D;2;5;253000;10432.7;1400.2;185.8;114758.776;3179.88696;426.78096;95.5836952;0.659089907;CL;ANP2.2
6541;A310-304-D-2;D;2;6;253000;17808.2;3000;190.3;114758.776;5427.93936;914.4;97.8986932;0.70229271;CL;ANP2.2
6542;A310-304-D-2;D;2;7;253000;27789.5;3630.3;262.4;114758.776;8470.2396;1106.51544;134.9901056;0.656102056;CL;ANP2.2
6543;A310-304-D-2;D;2;8;253000;38159;5500;269.9;114758.776;11630.8632;1676.4;138.8484356;0.699468411;CL;ANP2.2
6544;A310-304-D-2;D;2;9;253000;49443.6;7500;278.3;114758.776;15070.40928;2286;143.1697652;0.739621869;CL;ANP2.2
6545;A310-304-D-2;D;2;10;253000;64138;10000;289.3;114758.776;19549.2624;3048;148.8286492;0.780750467;CL;ANP2.2
6546;A310-304-D-3;D;3;1;262900;0;0;0;119249.3368;0;0;0;0.946236449;TO;ANP2.2
6547;A310-304-D-3;D;3;2;262900;3945.3;0;160;119249.3368;1202.52744;0;82.31104;0.792442056;TO;ANP2.2
6548;A310-304-D-3;D;3;3;262900;7801.9;1000;162.4;119249.3368;2378.01912;304.8;83.5457056;0.815793271;TO;ANP2.2
6549;A310-304-D-3;D;3;4;262900;10162.7;1189;188.9;119249.3368;3097.59096;362.4072;97.1784716;0.795530654;CL;ANP2.2
6550;A310-304-D-3;D;3;5;262900;11162.7;1393.8;189.5;119249.3368;3402.39096;424.83024;97.487138;0.655574019;CL;ANP2.2
6551;A310-304-D-3;D;3;6;262900;19005.3;3000;194;119249.3368;5792.81544;914.4;99.802136;0.698957196;CL;ANP2.2
6552;A310-304-D-3;D;3;7;262900;29042.8;3602.4;262.3;119249.3368;8852.24544;1098.01152;134.9386612;0.655412523;CL;ANP2.2
6553;A310-304-D-3;D;3;8;262900;40123.1;5500;269.9;119249.3368;12229.52088;1676.4;138.8484356;0.699468411;CL;ANP2.2
6554;A310-304-D-3;D;3;9;262900;52006.6;7500;278.3;119249.3368;15851.61168;2286;143.1697652;0.739621869;CL;ANP2.2
6555;A310-304-D-3;D;3;10;262900;67486.6;10000;289.3;119249.3368;20569.91568;3048;148.8286492;0.780750467;CL;ANP2.2
6556;A310-304-D-4;D;4;1;280700;0;0;0;127323.2744;0;0;0;0.946236449;TO;ANP2.2
6557;A310-304-D-4;D;4;2;280700;4526.8;0;165.4;127323.2744;1379.76864;0;85.0890376;0.787320935;TO;ANP2.2
6558;A310-304-D-4;D;4;3;280700;8786.7;1000;167.8;127323.2744;2678.18616;304.8;86.3237032;0.81067215;TO;ANP2.2
