oid;profile_id;arrival_departure;stage;point;weight_lbs;horizontal_feet;vertical_feet;tas_knots;weight_kgs;horizontal_metres;vertical_metres;tas_metres;power;mode;course
6677;A319-131-D-2;D;2;7;131000;24616.9;3000;211.4;59420.552;7503.23112;914.4;108.7534616;0.742522727;CL;ANP2.2
6678;A319-131-D-2;D;2;8;131000;33067.1;3466.6;261.8;59420.552;10078.85208;1056.61968;134.6814392;0.76274;CL;ANP2.2
6679;A319-131-D-2;D;2;9;131000;45741.2;5500;269.9;59420.552;13941.91776;1676.4;138.8484356;0.792023636;CL;ANP2.2
6680;A319-131-D-2;D;2;10;131000;58949;7500;278.3;59420.552;17967.6552;2286;143.1697652;0.813877273;CL;ANP2.2
6681;A319-131-D-2;D;2;11;131000;76979.4;10000;289.3;59420.552;23463.32112;3048;148.8286492;0.831594545;CL;ANP2.2
6682;A319-131-D-3;D;3;1;136500;0;0;0;61915.308;0;0;0;0.975376818;TO;ANP2.2
6683;A319-131-D-3;D;3;2;136500;3540.4;0;138.5;61915.308;1079.11392;0;71.250494;0.840458182;TO;ANP2.2
6684;A319-131-D-3;D;3;3;136500;8519.8;1000;140.5;61915.308;2596.83504;304.8;72.279382;0.855181818;TO;ANP2.2
6685;A319-131-D-3;D;3;4;136500;14124.6;1330.1;191.7;61915.308;4305.17808;405.41448;98.6189148;0.812024545;CL;ANP2.2
6686;A319-131-D-3;D;3;5;136500;16586.7;1467.9;209.4;61915.308;5055.62616;447.41592;107.7245736;0.797717727;CL;ANP2.2
